title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
10-in-1: Arcade Collection,3DS,Gamelion Studios,"['Miscellaneous', 'Compilation', 'Compilation']",E,"Aug 15, 2013",,0,No score yet,0,1,0,3.3,Generally unfavorable reviews,0,0,4
1001 Spikes,3DS,Nicalis,"['Action', 'General', 'Platformer', 'Platformer', '2D', '2D']",T,"Jun  3, 2014",,73,Mixed or average reviews,3,1,0,6.6,Mixed or average reviews,9,2,4
101 DinoPets 3D,3DS,Teyon,"['Simulation', 'General', 'General', 'Virtual', 'Pet']",E,"Jan 10, 2013",,0,No score yet,0,1,2,tbd,No user score yet,0,1,2
101 Penguin Pets 3D,3DS,Teyon,"['Simulation', 'Miscellaneous', 'General', 'General', 'Virtual', 'Virtual Life', 'Pet']",E,"Oct 17, 2013",,0,No score yet,0,1,0,tbd,No user score yet,0,1,0
101 Pony Pets 3D,3DS,Teyon,"['Simulation', 'Miscellaneous', 'Virtual', 'Virtual Life', 'Pet']",E,"Jul 24, 2014",,0,No score yet,0,1,0,9.0,Universal acclaim,4,1,0
2 Fast 4 Gnomz,3DS,QubicGames,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Nov  1, 2012",,65,Mixed or average reviews,0,5,0,7.0,Mixed or average reviews,3,1,1
2048,3DS,Cosmigo,"['Miscellaneous', 'Puzzle', 'Logic']",E,"Jun 19, 2014",,60,Mixed or average reviews,0,5,0,5.0,Mixed or average reviews,0,3,1
35 Junior Games,3DS,,"['Action', 'General']",,"Jan 24, 2013",,0,No score yet,0,1,0,tbd,No user score yet,0,1,0
3D After Burner II,3DS,M2,"['Action', 'Simulation', 'Flight', 'Shooter', 'Scrolling', 'Rail', ""Shoot-'Em-Up"", 'Combat', 'Vertical']",E10+,"Jan 15, 2015",,81,Generally favorable reviews,11,1,0,7.8,Generally favorable reviews,17,3,2
3D Altered Beast,3DS,M2,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']",E10+,"Dec  5, 2013",,0,No score yet,0,1,2,tbd,No user score yet,1,0,0
3D Classics: Excitebike,3DS,Arika,"['Driving', 'Racing', 'Arcade', 'Motorcycle', 'Other', 'Automobile', 'Motocross', 'Motocross']",E,"Jun  6, 2011",,0,No score yet,1,1,1,6.6,Mixed or average reviews,8,12,5
3D Classics: Kid Icarus,3DS,Arika,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Mar 23, 2012",,77,Generally favorable reviews,5,4,0,7.4,Mixed or average reviews,31,15,7
3D Classics: Kirby's Adventure,3DS,Arika,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Nov 17, 2011",,77,Generally favorable reviews,5,2,0,7.9,Generally favorable reviews,44,9,5
3D Classics: TwinBee,3DS,Arika,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",E,"Sep 22, 2011",,68,Mixed or average reviews,3,2,2,7.3,Mixed or average reviews,4,2,1
3D Classics: Urban Champion,3DS,Arika,"['Action', 'Fighting', 'Fighting', '2D', '2D']",E10+,"Aug 18, 2011",,37,Generally unfavorable reviews,0,1,6,4.8,Generally unfavorable reviews,10,5,14
3D Classics: Xevious,3DS,Arika,"['Action', 'Shooter', 'Shooter', 'Scrolling', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical']",E,"Jul 21, 2011",,56,Mixed or average reviews,2,5,3,5.8,Mixed or average reviews,5,4,4
3D Ecco the Dolphin,3DS,M2,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Dec 12, 2013",,0,No score yet,0,3,0,tbd,No user score yet,1,2,0
3D Fantasy Zone,3DS,M2,"['Action', 'Shooter', 'Scrolling', ""Shoot-'Em-Up"", 'Vertical', 'Horizontal']",E,"Feb 12, 2015",,79,Generally favorable reviews,4,2,0,7.2,Mixed or average reviews,8,1,2
,,,,,,,0,,0,0,0,0,,0,0,0
3D Galaxy Force II,3DS,M2,"['Action', 'General', 'General', 'Shooter', 'Rail']",E,"Dec 12, 2013",,77,Generally favorable reviews,3,2,0,8.0,Generally favorable reviews,8,2,1
3D Game Collection: 55-in-1,3DS,Joindots,"['Miscellaneous', 'General', 'Board Games', 'Board / Card Game']",E,"Dec 20, 2012",,0,No score yet,0,2,0,tbd,No user score yet,2,0,1
3D Gunstar Heroes,3DS,M2,"['Action', 'Platformer', 'Shooter', '2D', ""Shoot-'Em-Up"", 'Horizontal']",E10+,"Aug 20, 2015",,89,Generally favorable reviews,11,2,0,7.9,Generally favorable reviews,32,3,7
3D MahJongg,3DS,SunSoft,"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']",E,"Nov 22, 2012",,0,No score yet,0,2,0,tbd,No user score yet,2,1,0
3D Out Run,3DS,M2,"['Driving', 'Racing', 'Arcade', 'Automobile']",E,"Mar 12, 2015",,87,Generally favorable reviews,12,2,0,7.9,Generally favorable reviews,30,1,6
3D Retro Dungeon Puzzle Challenge,3DS,Skunk Software,"['Adventure', '3D', 'First-Person']",E,"May  3, 2018",,0,No score yet,0,0,0,tbd,No user score yet,0,0,2
3D Shinobi III: Return of the Ninja Master,3DS,M2,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E10+,"Dec 19, 2013",,0,No score yet,0,0,0,7.7,Generally favorable reviews,5,0,1
3D Solitaire,3DS,Zen Studios,"['Miscellaneous', 'Board Games', 'Board Games', 'Board / Card Game']",E,"Aug  2, 2012",,0,No score yet,0,2,0,tbd,No user score yet,1,0,0
3D Sonic the Hedgehog,3DS,M2,"['Action', 'Platformer', 'Platformer', '2D', '2D']",E,"Dec  5, 2013",,81,Generally favorable reviews,6,0,0,8.1,Generally favorable reviews,56,15,5
3D Sonic the Hedgehog 2,3DS,M2,"['Action', 'Platformer', '2D']",E,"Oct  8, 2015",,87,Generally favorable reviews,10,0,0,8.2,Generally favorable reviews,91,6,13
3D Space Harrier,3DS,M2,"['Action', 'Shooter', 'Shooter', 'Rail', 'Scrolling', 'Rail']",E10+,"Nov 28, 2013",,70,Mixed or average reviews,1,4,0,7.4,Mixed or average reviews,5,1,1
3D Streets of Rage,3DS,M2,"['Action', ""Beat-'Em-Up"", ""Beat-'Em-Up"", '2D']",E10+,"Dec 19, 2013",,0,No score yet,0,0,0,7.6,Generally favorable reviews,5,2,1
3D Streets of Rage II,3DS,M2,"['Action', ""Beat-'Em-Up"", '2D']",E10+,"Jul 23, 2015",,89,Generally favorable reviews,15,0,0,7.7,Generally favorable reviews,36,7,9
3D Super Hang-On,3DS,M2,"['Driving', 'Racing', 'General', 'General', 'Arcade', 'Automobile']",E10+,"Nov 28, 2013",,76,Generally favorable reviews,4,2,0,7.2,Mixed or average reviews,7,0,2
3D Thunder Blade,3DS,M2,"['Scrolling', 'Action', 'Shooter', ""Shoot-'Em-Up"", 'Vertical']",E10+,"May 14, 2015",,74,Mixed or average reviews,5,3,0,7.2,Mixed or average reviews,7,1,2
4 Elements,3DS,Engine Software,"['Miscellaneous', 'Puzzle', 'General', 'Puzzle', 'Matching', 'General']",E,"Nov  7, 2013",,0,No score yet,0,1,0,tbd,No user score yet,0,1,0
50 Classic Games 3D,3DS,Avanquest Software,"['Miscellaneous', 'Parlor', 'Gambling', 'Gambling']",E,"Mar 27, 2012",,0,No score yet,0,2,1,tbd,No user score yet,1,2,0
50 Pinch Barrage!!,3DS,Mobile & Game Studio,"['Action', 'General', 'Platformer', '2D']",E10+,"Mar 12, 2015",,72,Mixed or average reviews,3,1,1,tbd,No user score yet,2,0,0
6180 the Moon,3DS,Turtle Cream,"['Action', 'Platformer', '2D']",E,"Jun 29, 2017",,0,No score yet,0,0,0,tbd,No user score yet,0,0,0
7th Dragon III Code: VFD,3DS,Sega,"['General', 'Role-Playing', 'Japanese-Style']",T,"Jul 12, 2016",,76,Generally favorable reviews,18,12,0,7.9,Generally favorable reviews,50,3,9
80's Overdrive,3DS,Insane Code,"['Racing', 'Arcade', 'Automobile']",E,"Dec  7, 2017",,70,Mixed or average reviews,1,3,0,7.3,Mixed or average reviews,12,6,3
A-Train 3D: City Simulator,3DS,Artdink,"['Simulation', 'Vehicle', 'Train']",E10+,"Apr 14, 2015",,65,Mixed or average reviews,1,3,0,tbd,No user score yet,3,0,0
Ace Combat: Assault Horizon Legacy,3DS,Project Aces,"['Action', 'Simulation', 'General', 'Flight', 'General', 'Combat']",T,"Nov 15, 2011",,71,Mixed or average reviews,15,20,2,7.4,Mixed or average reviews,21,5,5
Ace Combat: Assault Horizon Legacy+,3DS,Project Aces,"['Action', 'Simulation', 'Flight', 'General', 'Combat']",T,"Feb 10, 2015",,63,Mixed or average reviews,5,24,2,5.9,Mixed or average reviews,7,3,5
Adventure Bar Story,3DS,"RideonJapan,Inc., Ride On","['Role-Playing', 'General']",E10+,"Feb 19, 2015",,69,Mixed or average reviews,0,6,0,6.1,Mixed or average reviews,5,1,2
Adventure Labyrinth Story,3DS,"CIRCLE Entertainment, RideonJapan,Inc.","['Action', 'Role-Playing', 'General', 'Roguelike']",E,"Sep  1, 2016",,55,Mixed or average reviews,0,4,0,tbd,No user score yet,0,2,0
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,3DS,WayForward,"['Action Adventure', 'Fantasy', 'General', 'Fantasy']",E10+,"Nov 19, 2013",,33,Generally unfavorable reviews,0,1,5,4.8,Generally unfavorable reviews,12,5,16
