mc_slug,mc_title,match,match_dist,oc_id,oc_score,oc_median,oc_tier,oc_num_reviews,oc_percent_recommended,oc_release
the-legend-of-zelda-tears-of-the-kingdom,The Legend of Zelda: Tears of the Kingdom,The Legend of Zelda: Tears of the Kingdom,0.0,14343,95.37244897959184,100.0,Mighty,166,97.46835443037975,2023-05-12T00:00:00.000Z
death-stranding-2-on-the-beach,Death Stranding 2: On The Beach,Death Stranding 2: On the Beach,0.0,18226,89.52777777777777,90.0,Mighty,194,95.3125,2025-06-26T00:00:00.000Z
marvels-spider-man-2,Marvel's Spider-Man 2,Marvel's Spider-Man 2,0.0,15052,87.58108108108108,90.0,Mighty,211,89.80582524271846,2023-10-20T00:00:00.000Z
final-fantasy-vii-rebirth,Final Fantasy VII Rebirth,Final Fantasy VII Rebirth,0.0,15136,91.22222222222223,90.0,Mighty,229,96.8609865470852,2024-02-29T00:00:00.000Z
god-of-war-ragnarok,God of War: Ragnarok,God of War Ragnarök,0.26086956,12919,92.07518796992481,95.0,Mighty,248,96.25,2022-11-09T00:00:00.000Z
final-fantasy-xvi,Final Fantasy XVI,Final Fantasy XVI,0.0,14516,87.21363636363637,90.0,Mighty,207,91.5,2023-06-22T00:00:00.000Z
donkey-kong-bananza,Donkey Kong Bananza,Donkey Kong Bananza,0.0,18340,91.38823529411765,90.0,Mighty,175,98.28571428571429,2025-07-17T00:00:00.000Z
kirby-and-the-forgotten-land,Kirby and the Forgotten Land,Kirby and the Forgotten Land,0.0,12682,84.83908045977012,88.0,Mighty,149,94.48275862068965,2022-03-25T00:00:00.000Z
astro-bot,Astro Bot,Astro Bot,0.0,17118,94.32631578947368,95.0,Mighty,188,99.45945945945947,2024-09-06T00:00:00.000Z
saros,SAROS,Saros,0.0,19375,86.63924050632912,90.0,Mighty,155,92.25806451612904,2026-04-30T00:00:00.000Z
horizon-forbidden-west,Horizon Forbidden West,Horizon Forbidden West,0.0,12361,88.16509433962264,90.0,Mighty,198,95.78947368421052,2022-02-18T00:00:00.000Z
ghost-of-yotei,Ghost of Yotei,Ghost of Yotei,0.0,18449,87.25294117647059,90.0,Mighty,167,94.01197604790418,2025-10-02T00:00:00.000Z
resident-evil-requiem,Resident Evil Requiem,Resident Evil Requiem,0.0,18716,89.18877551020408,90.0,Mighty,227,95.59471365638767,2026-02-27T00:00:00.000Z
stellar-blade,Stellar Blade,Stellar Blade,0.0,16510,81.40555555555555,83.0,Strong,173,80.7017543859649,2024-04-26T00:00:00.000Z
mario-kart-world,Mario Kart World,Mario Kart World,0.0,18333,86.71710526315789,90.0,Mighty,148,96.62162162162163,2025-06-05T00:00:00.000Z
ratchet-and-clank-rift-apart,Ratchet & Clank: Rift Apart,Ratchet & Clank: Rift Apart,0.0,10994,88.29464285714286,90.0,Mighty,202,93.36734693877551,2021-06-11T00:00:00.000Z
fire-emblem-engage,Fire Emblem Engage,Fire Emblem Engage,0.0,13896,80.8076923076923,80.0,Strong,136,83.59375,2023-01-20T00:00:00.000Z
super-mario-bros-wonder,Super Mario Bros. Wonder,Super Mario Bros. Wonder,0.0,15123,90.71686746987952,90.0,Mighty,153,98.02631578947368,2023-10-20T00:00:00.000Z
final-fantasy-vii-remake,Final Fantasy VII Remake,Final Fantasy VII Remake,0.0,8586,88.23076923076923,90.0,Mighty,186,95.02762430939227,2020-04-10T00:00:00.000Z
resident-evil-4,Resident Evil 4,Resident Evil 4,0.0,3227,81.86842105263158,85.0,Strong,49,79.59183673469387,2016-08-30T00:00:00.000Z
metroid-dread,Metroid Dread,Metroid Dread,0.0,11621,87.37209302325581,90.0,Mighty,154,93.95973154362416,2021-10-08T00:00:00.000Z
metroid-prime-4-beyond,Metroid Prime 4: Beyond,Metroid Prime 4: Beyond,0.0,16868,80.21323529411765,80.0,Strong,142,78.16901408450704,2025-12-04T00:00:00.000Z
ghost-of-tsushima,Ghost of Tsushima,Ghost of Tsushima,0.0,9592,84.40366972477064,90.0,Mighty,202,88.2051282051282,2020-07-17T00:00:00.000Z
the-last-of-us-part-ii,The Last of Us Part II,The Last of Us Part II,0.0,8351,92.50442477876106,95.0,Mighty,205,94.47236180904522,2020-06-19T00:00:00.000Z
bayonetta-3,Bayonetta 3,Bayonetta 3,0.0,13466,84.60714285714286,88.5,Mighty,143,85.40145985401459,2022-10-28T00:00:00.000Z
