score,critic,date,title,platform
55,NintendoWorldReport,"Sep 29, 2013",10-in-1: Arcade Collection,3DS
90,USgamer,"Jun 18, 2014",1001 Spikes,3DS
80,Nintendo Life,"Jun 10, 2014",1001 Spikes,3DS
75,Official Nintendo Magazine UK,"Aug  8, 2014",1001 Spikes,3DS
60,Edge Magazine,"Aug 20, 2014",1001 Spikes,3DS
50,Pocket Gamer UK,"Aug  2, 2013",101 DinoPets 3D,3DS
30,NintendoWorldReport,"Jan 27, 2013",101 DinoPets 3D,3DS
30,Nintendo Life,"Jan 14, 2013",101 DinoPets 3D,3DS
50,Nintendo Life,"Oct 22, 2013",101 Penguin Pets 3D,3DS
50,Nintendo Life,"Aug  1, 2014",101 Pony Pets 3D,3DS
70,Cubed3,"Feb 18, 2013",2 Fast 4 Gnomz,3DS
70,Nintendo Life,"Nov  4, 2012",2 Fast 4 Gnomz,3DS
70,NintendoWorldReport,"Nov  2, 2012",2 Fast 4 Gnomz,3DS
60,Games Master UK,"Feb  9, 2013",2 Fast 4 Gnomz,3DS
59,Official Nintendo Magazine UK,"Feb 22, 2013",2 Fast 4 Gnomz,3DS
70,God is a Geek,"Aug 14, 2014",2048,3DS
70,Nintendo Life,"Jun 25, 2014",2048,3DS
50,FNintendo,"Sep 30, 2014",2048,3DS
50,Eurogamer Portugal,"Sep 29, 2014",2048,3DS
50,Cubed3,"Sep 18, 2014",2048,3DS
60,Nintendo Life,"Jan 31, 2013",35 Junior Games,3DS
90,XGN,"Mar 24, 2015",3D After Burner II,3DS
85,NintendoWorldReport,"Jan 20, 2015",3D After Burner II,3DS
82,Hobby Consolas,"Jan 23, 2015",3D After Burner II,3DS
80,FNintendo,"Mar 11, 2015",3D After Burner II,3DS
80,Everyeye.it,"Feb 23, 2015",3D After Burner II,3DS
80,Cubed3,"Feb  6, 2015",3D After Burner II,3DS
80,Eurogamer Portugal,"Feb  3, 2015",3D After Burner II,3DS
80,USgamer,"Jan 22, 2015",3D After Burner II,3DS
80,Vandal,"Jan 20, 2015",3D After Burner II,3DS
80,Nintendo Life,"Jan 18, 2015",3D After Burner II,3DS
75,Nintendo Force Magazine,"Apr 20, 2015",3D After Burner II,3DS
70,Hardcore Gamer,"Jan 23, 2015",3D After Burner II,3DS
60,NintendoWorldReport,"Dec 11, 2013",3D Altered Beast,3DS
30,Nintendo Life,"Dec  9, 2013",3D Altered Beast,3DS
