score,critic,date,title,platform
4,BlazingTiamat,"Jul 11, 2014",10-in-1: Arcade Collection,3DS
2,ChocolateWing,"Jul 21, 2015",10-in-1: Arcade Collection,3DS
3,Silverzapper,"Mar  9, 2016",10-in-1: Arcade Collection,3DS
9,alphaomega88,"Feb 23, 2015",1001 Spikes,3DS
4,DinoBeam,"Oct 21, 2020",1001 Spikes,3DS
10,Charavid,"Mar 22, 2021",101 Pony Pets 3D,3DS
10,Yeti_,"Mar 22, 2021",101 Pony Pets 3D,3DS
10,Blickyy,"Mar 22, 2021",101 Pony Pets 3D,3DS
10,Pony321,"Mar 22, 2021",101 Pony Pets 3D,3DS
10,Chikin_Bukit,"Jun 22, 2021",2 Fast 4 Gnomz,3DS
9,otarcade,"Jun 28, 2015",3D After Burner II,3DS
7,musicmaniac1965,"Jan 15, 2015",3D After Burner II,3DS
8,JJTX,"Mar 24, 2019",3D After Burner II,3DS
5,Zero2k,"Dec 25, 2011",3D Classics: Excitebike,3DS
2,c0mmander,"Dec 20, 2011",3D Classics: Excitebike,3DS
6,LoganGreene,"Aug  1, 2011",3D Classics: Excitebike,3DS
10,kidsgames2,"Mar 10, 2012",3D Classics: Excitebike,3DS
5,Luigibarqs,"Dec 11, 2011",3D Classics: Excitebike,3DS
5,NSM,"Jul  2, 2012",3D Classics: Excitebike,3DS
6,AeitZean,"Apr 18, 2012",3D Classics: Kid Icarus,3DS
6,VidsRule,"Aug 23, 2012",3D Classics: Kid Icarus,3DS
4,Nonstopoulos,"Jul  5, 2012",3D Classics: Kid Icarus,3DS
6,IrishChai,"Dec 28, 2012",3D Classics: Kid Icarus,3DS
10,Redz0ne,"Apr 22, 2012",3D Classics: Kid Icarus,3DS
8,enderboy221,"Apr 29, 2013",3D Classics: Kid Icarus,3DS
9,CDeavin,"Nov 20, 2011",3D Classics: Kirby's Adventure,3DS
8,wallofjericho42,"Dec 12, 2011",3D Classics: Kirby's Adventure,3DS
10,Redz0ne,"Apr 22, 2012",3D Classics: Kirby's Adventure,3DS
7,yoshikartguy,"Feb 26, 2012",3D Classics: Kirby's Adventure,3DS
8,NathanJones,"Sep 12, 2013",3D Classics: Kirby's Adventure,3DS
7,ShadowR,"Nov 14, 2013",3D Classics: Kirby's Adventure,3DS
9,SirKirbyThe4th,"Jul  9, 2014",3D Classics: Kirby's Adventure,3DS
9,GERCharon,"Feb  2, 2014",3D Classics: Kirby's Adventure,3DS
10,ahnj88,"Aug 14, 2014",3D Classics: Kirby's Adventure,3DS
10,GamecubeLover,"Jul 19, 2016",3D Classics: Kirby's Adventure,3DS
8,shootinstah,"Aug 14, 2017",3D Classics: Kirby's Adventure,3DS
10,nintendo-sekta,"Dec 18, 2018",3D Classics: Kirby's Adventure,3DS
9,ImraanTest,"Dec 31, 2021",3D Classics: Kirby's Adventure,3DS
7,D-Lew,"Dec 30, 2011",3D Classics: TwinBee,3DS
10,kevinalb007,"Feb  7, 2015",3D Classics: TwinBee,3DS
6,julianozuca,"Jan  4, 2012",3D Classics: Urban Champion,3DS
9,raidendaigo,"Oct  5, 2011",3D Classics: Urban Champion,3DS
8,Luigibarqs,"Dec 11, 2011",3D Classics: Urban Champion,3DS
3,Zaccds,"Oct  3, 2011",3D Classics: Urban Champion,3DS
5,hapyrvwtime,"Apr 19, 2013",3D Classics: Urban Champion,3DS
10,LoganGreene,"Aug  2, 2011",3D Classics: Xevious,3DS
4,Redz0ne,"Apr 27, 2012",3D Classics: Xevious,3DS
7,Luigibarqs,"Jan  7, 2013",3D Classics: Xevious,3DS
9,Poskito,"Feb 13, 2015",3D Fantasy Zone,3DS
7,Daniel_N,"Jan  4, 2019",3D Fantasy Zone,3DS
3,TrentHawkins,"Jun  8, 2014",3D Game Collection: 55-in-1,3DS
8,bearcav,"Sep 10, 2015",3D Gunstar Heroes,3DS
9,LesterRoquefort,"Oct 17, 2015",3D Gunstar Heroes,3DS
10,christatoonist,"Dec 31, 2015",3D Gunstar Heroes,3DS
7,JJfromTexas,"Jun  2, 2013",3D MahJongg,3DS
10,musicmaniac1965,"Mar 18, 2015",3D Out Run,3DS
9,funkydoodycool,"Apr 24, 2015",3D Out Run,3DS
10,Turrican,"Mar 28, 2015",3D Out Run,3DS
10,AlfaTrion,"Apr 22, 2015",3D Out Run,3DS
9,LouiseJohns,"Mar 20, 2019",3D Out Run,3DS
1,Kristinaa,"Jun  1, 2018",3D Retro Dungeon Puzzle Challenge,3DS
4,ZekeNitron,"Jan  3, 2019",3D Retro Dungeon Puzzle Challenge,3DS
8,Cloudstrifer,"Nov 29, 2015",3D Shinobi III: Return of the Ninja Master,3DS
10,mashedtatter,"Mar  3, 2017",3D Shinobi III: Return of the Ninja Master,3DS
7,Lokathor,"Dec  6, 2013",3D Sonic the Hedgehog,3DS
9,emendez2k4,"Dec  6, 2013",3D Sonic the Hedgehog,3DS
10,funkydoodycool,"Apr 24, 2015",3D Sonic the Hedgehog,3DS
10,KCritic,"Jan 27, 2014",3D Sonic the Hedgehog,3DS
7,Cosmozerk,"Jun  4, 2016",3D Sonic the Hedgehog,3DS
10,SANICHEDGE,"Jul 29, 2017",3D Sonic the Hedgehog,3DS
8,Grant_Mackin,"Sep 26, 2015",3D Sonic the Hedgehog,3DS
7,22gamer,"Jul 16, 2016",3D Sonic the Hedgehog,3DS
7,Empyrancer,"Jan 24, 2019",3D Sonic the Hedgehog,3DS
8,Onioncreature,"Aug 14, 2020",3D Sonic the Hedgehog,3DS
10,NoxInTheMatrix,"Apr 28, 2020",3D Sonic the Hedgehog,3DS
8,CrispCicada,"Jun  1, 2020",3D Sonic the Hedgehog,3DS
7,grimreapersims,"Jan 19, 2022",3D Sonic the Hedgehog,3DS
8,MetalReviewer,"Mar  7, 2022",3D Sonic the Hedgehog,3DS
8,Grant_Mackin,"Oct 14, 2015",3D Sonic the Hedgehog 2,3DS
10,easterfields,"Oct 18, 2015",3D Sonic the Hedgehog 2,3DS
8,Zmaster632,"Nov 10, 2015",3D Sonic the Hedgehog 2,3DS
10,SonicSha,"Oct 27, 2017",3D Sonic the Hedgehog 2,3DS
8,davidESP,"Aug  5, 2016",3D Sonic the Hedgehog 2,3DS
7,Nekellor_Met,"Jul  6, 2020",3D Sonic the Hedgehog 2,3DS
0,SonicUndergroun,"Nov 20, 2022",3D Sonic the Hedgehog 2,3DS
9,musicmaniac1965,"Nov 16, 2015",3D Sonic the Hedgehog 2,3DS
10,Rtheom,"Jan  8, 2016",3D Sonic the Hedgehog 2,3DS
9,JJTX,"Mar 24, 2019",3D Sonic the Hedgehog 2,3DS
9,commoonist,"Jan 24, 2016",3D Sonic the Hedgehog 2,3DS
9,Alder613,"Jan 26, 2016",3D Sonic the Hedgehog 2,3DS
9,BrandonNel2307,"Dec 21, 2015",3D Sonic the Hedgehog 2,3DS
10,christatoonist,"Dec 31, 2015",3D Sonic the Hedgehog 2,3DS
9,Barnes1987,"Mar  6, 2017",3D Sonic the Hedgehog 2,3DS
9,twinky4746,"Aug 29, 2017",3D Sonic the Hedgehog 2,3DS
8,Sausage22,"Nov  7, 2017",3D Sonic the Hedgehog 2,3DS
8,TheKnucklehead,"Feb 26, 2021",3D Sonic the Hedgehog 2,3DS
7,PPko,"Sep 30, 2022",3D Sonic the Hedgehog 2,3DS
10,NoxInTheMatrix,"Apr 28, 2020",3D Sonic the Hedgehog 2,3DS
10,Marciano123132,"Mar 23, 2021",3D Sonic the Hedgehog 2,3DS
