title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
#SinucaAttack,PlayStation 5,EastAsiaSoft,"['Puzzle', 'Action']",E,"May 20, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-05-20
"#WomenUp, Super Puzzles Dream",PlayStation 5,"e-llusiontertainment, Jorge Fernando Biedma Azuar t/a e-llusiontertainment","['Puzzle', 'Stacking']",,"Jan 27, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-01-27
"#Xmas, Super Puzzles Dream",PlayStation 5,Jorge Fernando Biedma Azuar t/a e-llusiontertainment,"['Puzzle', 'Stacking']",,"Dec 23, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-12-23
0 Degrees,PlayStation 5,EastAsiaSoft,"['Action', 'Platformer', '2D']",E,"Dec 31, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-12-31
112th Seed,PlayStation 5,EastAsiaSoft,"['Puzzle', 'Action']",E,"Jul 23, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-07-23
20 Bunnies,PlayStation 5,"EastAsiaSoft, Nerd Games","['Action', 'Platformer', '2D']",E,"Nov 19, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-11-19
2MD:VR Football Unleashed ALL * STAR,PlayStation 5,Truant Pixel,"['Sports', 'Team', 'Football', 'Arcade']",E,"Feb 22, 2023",,0,No score yet,0,1,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2023-02-22
3D Billiards: Pool & Snooker Remastered,PlayStation 5,Joindots,"['Action', 'Sports', 'General', 'Individual', 'Billiards']",E,"Feb 19, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2021-02-19
3D MiniGolf,PlayStation 5,Joindots,"['Sports', 'Individual', 'Golf', 'Arcade']",E,"Jun 12, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-06-12
41 Hours,PlayStation 5,"Infomunca Recruitment, Texelworks","['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Oct 19, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-10-19
6Souls,PlayStation 5,BUG-Studio,"['Action', 'Platformer', '2D']",E10+,"Dec  3, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-12-03
7 Days of Rose,PlayStation 5,"Ratalaika Games, Cross Game Studio","['Adventure', 'Visual Novel']",T,"Nov  4, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-11-04
8-Ball Pocket,PlayStation 5,Super PowerUp Games,"['Sports', 'Individual', 'Billiards']",E,"Jan  7, 2022",,0,No score yet,0,0,1,0.0,No user score yet,0.0,0.0,1.0,0.0,2022-01-07
8Doors: Arum's Afterlife Adventure,PlayStation 5,Rootless Studio,"['Action', 'Platformer', 'Metroidvania']",E10+,"Apr 14, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-04-14
9 Clues 2: The Ward,PlayStation 5,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,"Jan  6, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-01-06
9 Clues: The Secret of Serpent Creek,PlayStation 5,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,"Apr  1, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,1.0,0.0,2022-04-01
9-Ball Pocket,PlayStation 5,Super PowerUp Games,"['Sports', 'Individual', 'Billiards']",,"Dec 25, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-12-25
99 Seconds,PlayStation 5,Super PowerUp Games,"['Action', 'General']",,"Jan 20, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-01-20
A Frog's Job,PlayStation 5,9Ratones,"['Action', 'Platformer', '2D']",E,"Oct  7, 2022",,0,No score yet,0,1,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2022-10-07
A Gummy's Life,PlayStation 5,EP Games,"['Miscellaneous', 'Party / Minigame']",E10+,"Sep 24, 2021",,0,No score yet,1,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2021-09-24
A HERO AND A GARDEN,PlayStation 5,"Ratalaika Games, npckc","['Adventure', 'Visual Novel']",E,"Dec  6, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-12-06
A Juggler's Tale,PlayStation 5,Kaleidoscube,"['Action', 'Adventure', 'General', 'Platformer', '2D']",E10+,"Sep 29, 2021",,69,Mixed or average reviews,3,6,0,7.7,Generally favorable reviews,5.0,1.0,1.0,77.0,2021-09-29
A Little Lily Princess,PlayStation 5,"Hanako Games, Ratalaika Games","['Adventure', 'Visual Novel']",T,"May 28, 2021",,0,No score yet,0,1,0,0.0,No user score yet,0.0,1.0,0.0,0.0,2021-05-28
A Matter of Principle,PlayStation 5,Volkov Konstantin Sergeevich,"['Adventure', 'Visual Novel']",,"Feb  2, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-02-02
A Memoir Blue,PlayStation 5,Cloisters,"['Adventure', 'General', '3D', 'Third-Person']",E,"Mar 24, 2022",,71,Mixed or average reviews,8,5,0,5.6,Mixed or average reviews,1.0,2.0,2.0,56.0,2022-03-24
A Monster's Expedition (Through Puzzling Exhibitions),PlayStation 5,Draknek,"['Puzzle', 'Action']",E,"May 19, 2022",,0,No score yet,1,1,0,0.0,No user score yet,1.0,1.0,0.0,0.0,2022-05-19
A Musical Story,PlayStation 5,Glee-Cheese Studio,"['Action', 'Rhythm', 'Music']",M,"Mar  2, 2022",,69,Mixed or average reviews,2,4,0,0.0,No user score yet,3.0,0.0,0.0,0.0,2022-03-02
A Plague Tale: Innocence,PlayStation 5,Asobo Studio,"['Action Adventure', 'Linear']",M,"Jul  6, 2021",,82,Generally favorable reviews,4,1,0,8.4,Generally favorable reviews,226.0,31.0,18.0,84.0,2021-07-06
A Plague Tale: Requiem,PlayStation 5,Asobo Studio,"['Action Adventure', 'Linear']",M,"Oct 18, 2022",,82,Generally favorable reviews,60,7,1,8.0,Generally favorable reviews,367.0,48.0,65.0,80.0,2022-10-18
A Pretty Odd Bunny,PlayStation 5,2Awesome Studio,"['Action', 'Platformer', '2D']",M,"Nov  9, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-11-09
A Sketchbook About Her Sun,PlayStation 5,Fantastico Studio,"['Adventure', 'Visual Novel']",E10+,"Apr 15, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-04-15
A Space For The Unbound,PlayStation 5,Mojiken Studio,"['Adventure', 'General']",T,"Jan 19, 2023",,84,Generally favorable reviews,8,0,0,0.0,No user score yet,3.0,0.0,0.0,0.0,2023-01-19
A Winter's Daydream,PlayStation 5,"ebi-hime, Evgeniy Kolpakov","['Adventure', 'Visual Novel']",E,"Jun 24, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-06-24
A YEAR OF SPRINGS,PlayStation 5,"Ratalaika Games, npckc","['Adventure', 'Visual Novel']",T,"Dec 10, 2021",,0,No score yet,0,1,0,0.0,No user score yet,0.0,2.0,0.0,0.0,2021-12-10
Absolute Tactics: Daughters of Mercy,PlayStation 5,Akupara Games,"['Strategy', 'Turn-Based', 'Tactics']",T,"Nov 17, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-11-17
Abyss,PlayStation 5,Super PowerUp Games,"['Action', 'Action Adventure', 'Platformer', 'Linear', '2D']",E,"Aug  5, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-08-05
Active DBG: Brave's Rage,PlayStation 5,Internet Star Dream ISVR,"['Strategy', 'General']",E,"Feb  2, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-02-02
Active Neurons,PlayStation 5,"Sometimes You, USANIK STD","['Puzzle', 'Logic']",E,"Jan 28, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-01-28
Active Neurons 3 - Wonders Of The World,PlayStation 5,Sometimes You,"['Puzzle', 'General']",E,"Feb 24, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-02-24
Ad Infinitum,PlayStation 5,Hekate,"['Action', 'Action Adventure', 'Shooter', 'Survival', 'First-Person', 'Arcade']",,"Apr 20, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-04-20
ADIOS Amigos: Galactic Explorers,PlayStation 5,Cosmic Picnic,"['Simulation', 'Space', 'Civilian']",,"May  3, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-05-03
Adventure Pinball,PlayStation 5,Super PowerUp Games,"['Action', 'Pinball']",,"Dec 24, 2022",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2022-12-24
Aeon Drive,PlayStation 5,Critical Reflex,"['Action', 'Platformer', '2D']",E10+,"Sep 30, 2021",,0,No score yet,3,0,0,0.0,No user score yet,3.0,0.0,0.0,0.0,2021-09-30
Aerial_Knight's Never Yield,PlayStation 5,Aerial_Knight,"['Action', 'General', 'Platformer', '2D']",T,"May 19, 2021",,0,No score yet,1,2,0,0.0,No user score yet,1.0,2.0,0.0,0.0,2021-05-19
Aeterna Noctis,PlayStation 5,Aeternum Game Studios,"['Action', 'Platformer', '2D', 'Metroidvania']",T,"Dec 15, 2021",,69,Mixed or average reviews,3,6,0,7.6,Generally favorable reviews,20.0,2.0,6.0,76.0,2021-12-15
After the Fall,PlayStation 5,Vertigo Games,"['Action', 'Shooter', 'First-Person', 'Arcade']",,"Feb 22, 2023",,0,No score yet,1,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2023-02-22
After Wave: Downfall,PlayStation 5,7 Raven Studios,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",,"Aug  5, 2022",,0,No score yet,0,0,1,0.0,No user score yet,0.0,0.0,1.0,0.0,2022-08-05
Afterimage,PlayStation 5,Aurogon Shanghai,"['Action', 'Action Adventure', 'Platformer', 'Open-World', 'Metroidvania']",RP,"Apr 25, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-04-25
Age of Wonders 4,PlayStation 5,Triumph Studios,"['Strategy', 'Turn-Based', 'General', '4X']",,"May  2, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-05-02
Agent Intercept,PlayStation 5,PikPok,"['Racing', 'Arcade', 'Automobile']",E10+,"Mar 30, 2022",,76,Generally favorable reviews,3,3,0,0.0,No user score yet,0.0,0.0,1.0,0.0,2022-03-30
Airborne Kingdom,PlayStation 5,The Wandering Band LLC,"['Strategy', 'Real-Time', 'General']",,"Nov  9, 2021",,0,No score yet,0,0,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2021-11-09
Airoheart,PlayStation 5,Pixel Heart Studio,"['Action Adventure', 'Open-World']",E10+,"Sep 30, 2022",,61,Mixed or average reviews,0,6,0,0.0,No user score yet,0.0,6.0,0.0,0.0,2022-09-30
Akinofa,PlayStation 5,"Erdem Sen, Pixel Lantern","['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']",E10+,"Aug 27, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2021-08-27
Akka Arrh,PlayStation 5,"Llamasoft, Jeff Minter","['Action', 'Arcade']",E10+,"Feb 21, 2023",,69,Mixed or average reviews,1,3,0,0.0,No user score yet,1.0,3.0,0.0,0.0,2023-02-21
Alan Wake Remastered,PlayStation 5,Remedy Entertainment,"['Action Adventure', 'Survival']",T,"Oct  5, 2021",,79,Generally favorable reviews,36,7,0,8.0,Generally favorable reviews,150.0,37.0,23.0,80.0,2021-10-05
Alba: a Wildlife Adventure,PlayStation 5,ustwo,"['Adventure', 'General']",E,"Jun  9, 2021",,0,No score yet,3,0,0,0.0,No user score yet,3.0,0.0,0.0,0.0,2021-06-09
Albacete Warrior,PlayStation 5,FAS3,"['Action', ""Beat-'Em-Up"", '3D']",,"Feb  1, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-02-01
Alex Kidd in Miracle World DX,PlayStation 5,Jankenteam,"['Action', 'Platformer', '2D']",E,"Jun 22, 2021",,67,Mixed or average reviews,2,3,0,7.2,Mixed or average reviews,7.0,1.0,2.0,72.0,2021-06-22
Alfred Hitchcock: Vertigo,PlayStation 5,Pendulo Studios,"['Action Adventure', 'Adventure', 'General', '3D', 'Third-Person']",M,"Oct  4, 2022",,64,Mixed or average reviews,0,8,0,0.0,No user score yet,1.0,0.0,0.0,0.0,2022-10-04
Alice Gear Aegis CS: Concerto of Simulatrix,PlayStation 5,Pyramid,"['Action', 'Role-Playing', 'General', 'Shooter', 'Third-Person', 'Arcade']",,"Mar 16, 2023",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0.0,0.0,0.0,2023-03-16
Aliens,PlayStation 5,Sabec Limited,"['Action Adventure', 'Survival']",M,"Mar 31, 2021",,0,No score yet,0,0,1,0.0,No user score yet,0.0,0.0,1.0,0.0,2021-03-31
