score,critic,date,title,platform
7,SuperkenGaming,"Sep 30, 2021",A Juggler's Tale,PlayStation 5
9,Zmzm,"Oct  3, 2021",A Juggler's Tale,PlayStation 5
7,GretchenGrinch4,"Aug 14, 2022",A Memoir Blue,PlayStation 5
10,AlexSantoss,"Jan 29, 2023",A Memoir Blue,PlayStation 5
10,HumorousH,"Mar 15, 2022",A Musical Story,PlayStation 5
10,Gerald0,"Aug 24, 2021",A Plague Tale: Innocence,PlayStation 5
8,Black_Knight_M,"Sep 24, 2021",A Plague Tale: Innocence,PlayStation 5
10,Flashyboy89,"Aug 11, 2021",A Plague Tale: Innocence,PlayStation 5
7,Aquilayouloose,"Jul 18, 2021",A Plague Tale: Innocence,PlayStation 5
9,Provenance,"Jul  7, 2021",A Plague Tale: Innocence,PlayStation 5
6,Andizzzzy,"Aug 25, 2021",A Plague Tale: Innocence,PlayStation 5
7,Pascal1602,"Oct  1, 2021",A Plague Tale: Innocence,PlayStation 5
4,Tritonio,"Jan 30, 2022",A Plague Tale: Innocence,PlayStation 5
3,Tom11th,"Aug  9, 2021",A Plague Tale: Innocence,PlayStation 5
2,NarraMine,"Oct  1, 2021",A Plague Tale: Innocence,PlayStation 5
2,BattleLoot,"Jan 29, 2022",A Plague Tale: Innocence,PlayStation 5
0,TheGun,"Aug 18, 2021",A Plague Tale: Innocence,PlayStation 5
0,Sheldontung,"Jul 30, 2021",A Plague Tale: Innocence,PlayStation 5
9,rrafemi,"Jul 12, 2021",A Plague Tale: Innocence,PlayStation 5
3,WithFieryTruth,"Apr 30, 2022",A Plague Tale: Innocence,PlayStation 5
10,RanGom007,"Jul 14, 2021",A Plague Tale: Innocence,PlayStation 5
10,themightystick,"Jul 29, 2021",A Plague Tale: Innocence,PlayStation 5
10,arena94,"Jul 12, 2021",A Plague Tale: Innocence,PlayStation 5
10,Jorge_Q,"Jul  8, 2021",A Plague Tale: Innocence,PlayStation 5
9,FRIST_008,"Jul 26, 2021",A Plague Tale: Innocence,PlayStation 5
9,Raios-Rogue,"Jul 17, 2021",A Plague Tale: Innocence,PlayStation 5
10,t_thomson91,"Jul 17, 2021",A Plague Tale: Innocence,PlayStation 5
4,fabgo,"Mar 27, 2022",A Plague Tale: Innocence,PlayStation 5
1,stasweb,"Dec 11, 2021",A Plague Tale: Innocence,PlayStation 5
9,YokoHugo,"Nov  2, 2022",A Plague Tale: Innocence,PlayStation 5
9,Sty1eBender,"Feb 17, 2022",A Plague Tale: Innocence,PlayStation 5
8,bucklavaa,"Jul 30, 2021",A Plague Tale: Innocence,PlayStation 5
9,Alieath,"Jul 15, 2021",A Plague Tale: Innocence,PlayStation 5
9,PoloBoyKeegs,"Jul 22, 2021",A Plague Tale: Innocence,PlayStation 5
10,mitsarakos,"Oct  6, 2021",A Plague Tale: Innocence,PlayStation 5
0,Sabemaru,"Oct 27, 2021",A Plague Tale: Innocence,PlayStation 5
8,awar_7,"Dec 20, 2021",A Plague Tale: Innocence,PlayStation 5
9,ARbot,"Dec 29, 2021",A Plague Tale: Innocence,PlayStation 5
6,thefikry,"Feb  2, 2023",A Plague Tale: Innocence,PlayStation 5
8,SebboBastian,"Dec 12, 2021",A Plague Tale: Innocence,PlayStation 5
9,HaloFever,"Feb  8, 2022",A Plague Tale: Innocence,PlayStation 5
9,rhinoheart27,"Dec 11, 2022",A Plague Tale: Innocence,PlayStation 5
7,Sky-Line___,"Feb  6, 2022",A Plague Tale: Innocence,PlayStation 5
8,SleepNot,"Oct  1, 2022",A Plague Tale: Innocence,PlayStation 5
8,KayVen17,"Dec 28, 2021",A Plague Tale: Innocence,PlayStation 5
8,tanonero,"Jul 25, 2021",A Plague Tale: Innocence,PlayStation 5
9,PensionerR,"Sep  5, 2021",A Plague Tale: Innocence,PlayStation 5
9,mmarkk3,"Sep  4, 2021",A Plague Tale: Innocence,PlayStation 5
10,RichiK,"Aug 16, 2021",A Plague Tale: Innocence,PlayStation 5
10,FabioLopes,"Jul 12, 2021",A Plague Tale: Innocence,PlayStation 5
8,DULAccd,"Aug 15, 2021",A Plague Tale: Innocence,PlayStation 5
10,sinantos,"Jul 25, 2021",A Plague Tale: Innocence,PlayStation 5
8,Daniel0809,"Jul 31, 2021",A Plague Tale: Innocence,PlayStation 5
7,dangyosabyss,"Nov 24, 2021",A Plague Tale: Innocence,PlayStation 5
8,SemmelMerlin,"Nov 13, 2022",A Plague Tale: Innocence,PlayStation 5
9,yostecks,"Aug 22, 2021",A Plague Tale: Innocence,PlayStation 5
8,junaidmanji,"Feb 11, 2023",A Plague Tale: Innocence,PlayStation 5
7,alank8704,"Aug 11, 2021",A Plague Tale: Innocence,PlayStation 5
9,ArcaneRaven,"Aug 25, 2021",A Plague Tale: Innocence,PlayStation 5
7,Harryik,"Feb  2, 2022",A Plague Tale: Innocence,PlayStation 5
8,thiagofp18,"Feb 10, 2022",A Plague Tale: Innocence,PlayStation 5
9,Fanchbretagne,"Oct  3, 2021",A Plague Tale: Innocence,PlayStation 5
9,Uncl3s4mbr,"Jun 12, 2022",A Plague Tale: Innocence,PlayStation 5
9,Gamer312425,"Aug  9, 2021",A Plague Tale: Innocence,PlayStation 5
8,kataaayy,"Aug 13, 2021",A Plague Tale: Innocence,PlayStation 5
8,davidthesloth,"Jan 26, 2023",A Plague Tale: Innocence,PlayStation 5
10,Borz5,"Jan 20, 2022",A Plague Tale: Innocence,PlayStation 5
8,iCampoRamil,"May  5, 2022",A Plague Tale: Innocence,PlayStation 5
9,FanAtreus-Drake,"Feb 16, 2022",A Plague Tale: Innocence,PlayStation 5
10,HeilTurtle,"Mar  7, 2022",A Plague Tale: Innocence,PlayStation 5
10,superfreeze,"Nov 28, 2021",A Plague Tale: Innocence,PlayStation 5
10,Fhaheenk,"Aug 21, 2021",A Plague Tale: Innocence,PlayStation 5
8,KisarasLegacy,"Feb  3, 2022",A Plague Tale: Innocence,PlayStation 5
7,JoePa,"Jul 20, 2021",A Plague Tale: Innocence,PlayStation 5
8,lucuwu,"Aug 10, 2021",A Plague Tale: Innocence,PlayStation 5
8,Jubus,"Aug 17, 2021",A Plague Tale: Innocence,PlayStation 5
10,gypsy_chll,"Oct  4, 2021",A Plague Tale: Innocence,PlayStation 5
8,Ventu,"Mar 27, 2022",A Plague Tale: Innocence,PlayStation 5
10,AmirkHAN-THR,"Feb 13, 2022",A Plague Tale: Innocence,PlayStation 5
9,BrianDavid94,"Sep 30, 2022",A Plague Tale: Innocence,PlayStation 5
7,JG00,"Sep 18, 2022",A Plague Tale: Innocence,PlayStation 5
10,Morbo,"Oct 25, 2022",A Plague Tale: Requiem,PlayStation 5
9,GamergodsFail,"Oct 27, 2022",A Plague Tale: Requiem,PlayStation 5
10,InTheSpotlight,"Oct 28, 2022",A Plague Tale: Requiem,PlayStation 5
9,george_bondo,"Oct 27, 2022",A Plague Tale: Requiem,PlayStation 5
10,OneFadedGunner,"Nov  5, 2022",A Plague Tale: Requiem,PlayStation 5
10,Aidan5904,"Nov  9, 2022",A Plague Tale: Requiem,PlayStation 5
8,cinogen,"Oct 30, 2022",A Plague Tale: Requiem,PlayStation 5
10,Breikzer,"Nov  8, 2022",A Plague Tale: Requiem,PlayStation 5
10,Jay_Rosie,"Nov 26, 2022",A Plague Tale: Requiem,PlayStation 5
10,xXAlex03,"Dec  2, 2022",A Plague Tale: Requiem,PlayStation 5
7,Umur,"Dec 17, 2022",A Plague Tale: Requiem,PlayStation 5
10,fantakiem,"Jan 16, 2023",A Plague Tale: Requiem,PlayStation 5
10,kisirani,"Dec 11, 2022",A Plague Tale: Requiem,PlayStation 5
7,xRigatoni,"Jan  9, 2023",A Plague Tale: Requiem,PlayStation 5
9,Last_Germane,"Jan 16, 2023",A Plague Tale: Requiem,PlayStation 5
10,nauseousmonster,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
10,WillyDynamite,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
9,Daniel0809,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
10,OldManLav,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
9,iamnotagaymer,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
9,Comrade_Eli,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
10,Lucky_321,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
10,foonkif,"Oct 24, 2022",A Plague Tale: Requiem,PlayStation 5
7,Felipe2022,"Oct 24, 2022",A Plague Tale: Requiem,PlayStation 5
9,USSR90RPG,"Oct 24, 2022",A Plague Tale: Requiem,PlayStation 5
10,MathieuRinn,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
10,Mamago,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
10,Elicituss,"Oct 25, 2022",A Plague Tale: Requiem,PlayStation 5
10,Kena_B,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
10,BassBoi,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
9,Moon2627,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
8,Gosticouilles,"Nov  2, 2022",A Plague Tale: Requiem,PlayStation 5
9,Jt0429,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
8,DOXthaFOX,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
10,Dr_Alloy,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
5,Taxel,"Nov  4, 2022",A Plague Tale: Requiem,PlayStation 5
9,kickmaster118,"Oct 24, 2022",A Plague Tale: Requiem,PlayStation 5
9,Djav1982,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
10,Impast,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
10,Nexusjuan,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
4,rrkwarmonger,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
1,Davario,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
1,FGPT,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
10,onderd,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
10,Drapsh,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
10,ParanoydAndroyd,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
9,Gab76,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
9,DinoMAGRO22,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
8,hdiamr,"Nov  5, 2022",A Plague Tale: Requiem,PlayStation 5
8,Queruba,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
9,mareknufc,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
10,Rahataah,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
10,skilledplaya,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
10,lBodikl,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
0,BenFauWriter,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
2,HardyPilgrim,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
10,JayZone,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
0,Kratos766,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
2,ulukaj,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
10,03_Aser,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
10,Niko007,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
0,Myrakls,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
4,scorp332211,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
10,Alexsii,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
0,JaroJaro1990,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
1,WanderinMelmoth,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
0,OnlyOneHere,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
6,Rincemac,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
3,Call0ut,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
5,Rallianto_Rex,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
6,Grald,"Nov  2, 2022",A Plague Tale: Requiem,PlayStation 5
10,Choco60,"Oct 24, 2022",A Plague Tale: Requiem,PlayStation 5
1,Tonyjaka,"Oct 19, 2022",A Plague Tale: Requiem,PlayStation 5
0,Genexus84,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
0,TRN,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
1,Octobierg,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
0,MazePLn,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
1,Ron177,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
0,Greenhouse_h,"Oct 25, 2022",A Plague Tale: Requiem,PlayStation 5
0,Sannikov123,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
5,Haschtro,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
10,burzum666,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
6,Ryanrich,"Oct 25, 2022",A Plague Tale: Requiem,PlayStation 5
10,Xzavinh,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
3,Blblb,"Oct 23, 2022",A Plague Tale: Requiem,PlayStation 5
1,pioslik,"Oct 20, 2022",A Plague Tale: Requiem,PlayStation 5
2,yuricloud3,"Oct 22, 2022",A Plague Tale: Requiem,PlayStation 5
0,cabbages,"Jan 17, 2023",A Plague Tale: Requiem,PlayStation 5
6,rickxy007,"Nov 13, 2022",A Plague Tale: Requiem,PlayStation 5
2,Smc88,"Oct 28, 2022",A Plague Tale: Requiem,PlayStation 5
9,RanGom007,"Oct 30, 2022",A Plague Tale: Requiem,PlayStation 5
4,Lother,"Jan  4, 2023",A Plague Tale: Requiem,PlayStation 5
6,Consumemedia2,"Oct 31, 2022",A Plague Tale: Requiem,PlayStation 5
9,Tmes_jaban,"Oct 21, 2022",A Plague Tale: Requiem,PlayStation 5
5,greezeuk,"Oct 25, 2022",A Plague Tale: Requiem,PlayStation 5
5,Skec9hr,"Nov  1, 2022",A Plague Tale: Requiem,PlayStation 5
0,GreenhouseSlk,"Nov 19, 2022",A Plague Tale: Requiem,PlayStation 5
4,yeknomhtooms,"Dec  5, 2022",A Plague Tale: Requiem,PlayStation 5
6,Thengineer,"Feb 16, 2023",A Plague Tale: Requiem,PlayStation 5
10,Final_madara,"Dec 22, 2022",A Plague Tale: Requiem,PlayStation 5
10,LastResource,"Jan 26, 2023",A Space For The Unbound,PlayStation 5
7,MARBROLAYGAMING,"Dec 14, 2021",A YEAR OF SPRINGS,PlayStation 5
0,Ughhh,"Dec 28, 2021",Aeterna Noctis,PlayStation 5
9,SpartanBerdi,"Jan 11, 2022",Aeterna Noctis,PlayStation 5
7,shavenwookie,"Dec 23, 2021",Aeterna Noctis,PlayStation 5
0,KB5K,"Feb 19, 2023",Aeterna Noctis,PlayStation 5
10,CaliostRa,"Jul  3, 2022",Aeterna Noctis,PlayStation 5
8,Khristian5,"Nov 25, 2022",Aeterna Noctis,PlayStation 5
10,GeorgeNikolaou,"Apr 21, 2022",Aeterna Noctis,PlayStation 5
9,AeternaInsomnia,"Dec 28, 2021",Aeterna Noctis,PlayStation 5
9,thorus82,"Jan 15, 2022",Aeterna Noctis,PlayStation 5
10,Niccodemo,"Jan 19, 2022",Aeterna Noctis,PlayStation 5
10,josetefernandez,"Feb  9, 2022",Aeterna Noctis,PlayStation 5
10,Joseluismorales,"Feb  9, 2022",Aeterna Noctis,PlayStation 5
10,Chebastian25,"Feb  9, 2022",Aeterna Noctis,PlayStation 5
10,velis1212,"Feb 16, 2022",Aeterna Noctis,PlayStation 5
10,gchiquito,"Feb 17, 2022",Aeterna Noctis,PlayStation 5
