score,critic,date,title,platform
80,NintendoWorldReport,"Apr 17, 2018",#Breakforcist Battle,Switch
70,Nintendo Insider,"Jun  5, 2018",#Breakforcist Battle,Switch
55,Nintenderos,"Jul  5, 2020",#Breakforcist Battle,Switch
90,GameSpace,"Feb 24, 2021",#DRIVE,Switch
80,GameCritics,"Apr  2, 2021",#DRIVE,Switch
80,Finger Guns,"Feb 15, 2021",#DRIVE,Switch
64,4Players.de,"Mar 12, 2021",#DRIVE,Switch
60,Pure Nintendo,"Mar 15, 2021",#DRIVE,Switch
60,Gamezebo,"Feb 23, 2021",#DRIVE,Switch
60,GameSpew,"Feb 16, 2021",#DRIVE,Switch
70,NintendoWorldReport,"Sep 23, 2020",#Funtime,Switch
70,Switch Player,"Mar 27, 2019",#KILLALLZOMBIES,Switch
40,Video Chums,"Feb 12, 2019",#KILLALLZOMBIES,Switch
60,Video Chums,"Aug  8, 2019",#RaceDieRun,Switch
42,Gaming Age,"Sep 17, 2019",#RaceDieRun,Switch
85,NintendoWorldReport,"Jul  1, 2020",-KLAUS-,Switch
90,GamersRD,"Mar 31, 2022",.hack//G.U. Last Recode,Switch
80,TierraGamer,"Apr 28, 2022",.hack//G.U. Last Recode,Switch
80,Hey Poor Player,"Mar 27, 2022",.hack//G.U. Last Recode,Switch
75,COGconnected,"Mar 23, 2022",.hack//G.U. Last Recode,Switch
75,Multiplayer.it,"Mar 20, 2022",.hack//G.U. Last Recode,Switch
73,Everyeye.it,"Apr  6, 2022",.hack//G.U. Last Recode,Switch
60,Nintendo Life,"Mar 29, 2022",.hack//G.U. Last Recode,Switch
90,Time,"Mar  2, 2017",1-2-Switch,Switch
80,GamingTrend,"Apr 25, 2017",1-2-Switch,Switch
75,Multiplayer.it,"Mar  8, 2017",1-2-Switch,Switch
75,CGMagazine,"Mar  2, 2017",1-2-Switch,Switch
70,CD-Action,"Apr 26, 2017",1-2-Switch,Switch
70,Switch Player,"Apr  6, 2017",1-2-Switch,Switch
70,Washington Post,"Mar 21, 2017",1-2-Switch,Switch
70,Cubed3,"Mar  8, 2017",1-2-Switch,Switch
70,Areajugones,"Mar  8, 2017",1-2-Switch,Switch
70,IBTimes UK,"Mar  4, 2017",1-2-Switch,Switch
68,IGN,"Mar  2, 2017",1-2-Switch,Switch
65,NintendoWorldReport,"Mar  9, 2017",1-2-Switch,Switch
65,IGN Spain,"Mar  7, 2017",1-2-Switch,Switch
65,InsideGamer.nl,"Mar  6, 2017",1-2-Switch,Switch
65,Gamer.nl,"Mar  6, 2017",1-2-Switch,Switch
65,Meristation,"Mar  6, 2017",1-2-Switch,Switch
65,Hobby Consolas,"Mar  3, 2017",1-2-Switch,Switch
65,GamePro Germany,"Mar  2, 2017",1-2-Switch,Switch
65,Wccftech,"Mar  2, 2017",1-2-Switch,Switch
65,Nintendo Enthusiast,"Mar  2, 2017",1-2-Switch,Switch
63,Game World Navigator Magazine,"Mar 24, 2017",1-2-Switch,Switch
60,Wired UK,"Aug 30, 2017",1-2-Switch,Switch
60,Nintendo Force Magazine,"Apr 24, 2017",1-2-Switch,Switch
60,Edge Magazine,"Apr 16, 2017",1-2-Switch,Switch
60,games(TM),"Apr 11, 2017",1-2-Switch,Switch
60,Vooks,"Apr  6, 2017",1-2-Switch,Switch
60,GameCrate,"Mar 23, 2017",1-2-Switch,Switch
60,FNintendo,"Mar 10, 2017",1-2-Switch,Switch
60,Vandal,"Mar  9, 2017",1-2-Switch,Switch
60,3DJuegos,"Mar  8, 2017",1-2-Switch,Switch
60,Eurogamer Italy,"Mar  6, 2017",1-2-Switch,Switch
60,Atomix,"Mar  3, 2017",1-2-Switch,Switch
60,COGconnected,"Mar  3, 2017",1-2-Switch,Switch
60,Gameblog.fr,"Mar  3, 2017",1-2-Switch,Switch
60,Trusted Reviews,"Mar  2, 2017",1-2-Switch,Switch
60,TheSixthAxis,"Mar  2, 2017",1-2-Switch,Switch
60,Guardian,"Mar  2, 2017",1-2-Switch,Switch
60,GameSpot,"Mar  2, 2017",1-2-Switch,Switch
60,Nintendo Life,"Mar  2, 2017",1-2-Switch,Switch
60,XGN,"Mar  2, 2017",1-2-Switch,Switch
58,New Game Network,"Mar 27, 2017",1-2-Switch,Switch
55,App Trigger,"Apr 21, 2017",1-2-Switch,Switch
55,The Games Machine,"Mar 16, 2017",1-2-Switch,Switch
55,SpazioGames,"Mar 15, 2017",1-2-Switch,Switch
55,Critical Hit,"Mar 14, 2017",1-2-Switch,Switch
55,LevelUp,"Mar  2, 2017",1-2-Switch,Switch
54,Games Master UK,"May 19, 2017",1-2-Switch,Switch
50,Gamer.no,"Mar  6, 2017",1-2-Switch,Switch
50,God is a Geek,"Mar  6, 2017",1-2-Switch,Switch
50,Stevivor,"Mar  6, 2017",1-2-Switch,Switch
50,Digitally Downloaded,"Mar  6, 2017",1-2-Switch,Switch
50,Everyeye.it,"Mar  4, 2017",1-2-Switch,Switch
45,IGN Italia,"Mar  7, 2017",1-2-Switch,Switch
45,Destructoid,"Mar  7, 2017",1-2-Switch,Switch
40,Games.cz,"Apr  5, 2017",1-2-Switch,Switch
40,The Digital Fix,"Mar 21, 2017",1-2-Switch,Switch
40,TrueGaming,"Mar  9, 2017",1-2-Switch,Switch
40,Game Rant,"Mar  2, 2017",1-2-Switch,Switch
40,Game Informer,"Mar  2, 2017",1-2-Switch,Switch
40,Post Arcade (National Post),"Mar  2, 2017",1-2-Switch,Switch
40,We Got This Covered,"Mar  2, 2017",1-2-Switch,Switch
35,JeuxActu,"Mar  7, 2017",1-2-Switch,Switch
28,4Players.de,"Mar  7, 2017",1-2-Switch,Switch
80,Nintendo Life,"Jan 31, 2018",10 Second Run Returns,Switch
60,Switch Player,"Apr 17, 2018",10 Second Run Returns,Switch
60,NintendoWorldReport,"Feb  5, 2018",10 Second Run Returns,Switch
50,Digitally Downloaded,"Aug  3, 2021",112 Operator,Switch
80,GameSpace,"Mar 26, 2019",12 is Better Than 6,Switch
80,Nintendo Insider,"Mar  5, 2019",12 is Better Than 6,Switch
75,Pure Nintendo,"Apr  5, 2019",12 is Better Than 6,Switch
75,Nintendo Enthusiast,"Mar 14, 2019",12 is Better Than 6,Switch
75,Nintenderos,"Mar 10, 2019",12 is Better Than 6,Switch
