score,critic,date,title,platform
4,barneygumble,"Feb 17, 2021",#DRIVE,Switch
8,PanNindyk,"Aug 25, 2021",#DRIVE,Switch
8,ophone,"Jan 23, 2023",#DRIVE,Switch
5,vegetarian,"Dec 13, 2021",#DRIVE,Switch
10,Sodiqboy,"May 15, 2022",#DRIVE,Switch
9,ChrisUnseen,"Feb 13, 2019",#KILLALLZOMBIES,Switch
7,jens76,"Oct 21, 2020",#RaceDieRun,Switch
10,Yamanj,"Aug 11, 2019",#RaceDieRun,Switch
10,dep,"Jul 21, 2020",#RaceDieRun,Switch
0,Krutoslav,"Apr 16, 2021",.cat,Switch
10,ant007,"May 21, 2021",.cat,Switch
10,g_smith,"May 22, 2021",.cat,Switch
8,acarvalho,"Apr 23, 2021",.cat,Switch
9,yahoocom,"Apr 23, 2021",.cat,Switch
0,notmyfallout,"Jul  8, 2021",.cat,Switch
0,EvilBlade,"Apr 25, 2021",.cat,Switch
0,DarkScorpion,"Apr 17, 2021",.cat,Switch
10,USA_gamer,"Apr 25, 2021",.cat,Switch
10,indiegames,"Apr 25, 2021",.cat,Switch
9,Willowcat123,"Apr 29, 2021",.cat,Switch
7,japan2000,"May  5, 2021",.cat,Switch
10,marialp,"May 22, 2021",.cat,Switch
8,1980gb,"May 22, 2021",.cat,Switch
10,Wactape,"Jul 13, 2021",.cat,Switch
10,isaiahwhite100,"Jan 23, 2022",.cat,Switch
0,Panic0,"Sep 12, 2021",.cat,Switch
0,ludicrousGibbs,"Dec  9, 2021",.cat,Switch
10,Punkfurry,"Mar  9, 2022",.cat,Switch
4,A4G,"Jul 28, 2022",.cat Milk,Switch
7,Kevinzx94,"Sep 14, 2021",.cat Milk,Switch
8,abrahmland,"Nov 17, 2021",.cat Milk,Switch
10,Lionick_Z,"Jan 15, 2022",.cat Milk,Switch
10,DesLobster,"Jan 15, 2022",.cat Milk,Switch
6,A4G,"Jul 28, 2022",.dog,Switch
10,Huc,"May 11, 2022",.dog,Switch
10,5656,"Jul 21, 2022",.dog,Switch
7,DrexX,"Mar 18, 2022",.hack//G.U. Last Recode,Switch
0,guioiticica,"Jun 12, 2022",.hack//G.U. Last Recode,Switch
10,iRasetsu,"Jan 28, 2023",.hack//G.U. Last Recode,Switch
6,NindieSpotlight,"Dec 17, 2021",0 Degrees,Switch
10,Oasppp,"Mar  3, 2017",1-2-Switch,Switch
8,MonkiReviews,"Dec 25, 2017",1-2-Switch,Switch
8,Nath2866,"May  3, 2017",1-2-Switch,Switch
7,spongeswift,"Mar 14, 2017",1-2-Switch,Switch
7,tomterl,"Mar 11, 2017",1-2-Switch,Switch
6,CrawlinUK,"Nov  2, 2017",1-2-Switch,Switch
5,FairCriticism,"Apr 23, 2019",1-2-Switch,Switch
6,wesker2012,"Apr 14, 2018",1-2-Switch,Switch
9,SleepNot,"Jan 21, 2020",1-2-Switch,Switch
5,imoviesreview,"Mar 11, 2018",1-2-Switch,Switch
5,Bigal4ever,"Aug 30, 2017",1-2-Switch,Switch
7,Afenger,"Jan 19, 2020",1-2-Switch,Switch
