title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
007 Legends,Wii U,"Eurocom Entertainment Software, Eurocom","['Action', 'Shooter', 'Shooter', 'First-Person', 'Modern', 'Modern', 'Arcade']",T,"Dec 11, 2012",0,No score yet,0,0,3,5.3,Mixed or average reviews,10,7,13
1001 Spikes,Wii U,Nicalis,"['Action', 'General', 'Platformer', 'Platformer', '2D', '2D']",T,"Jun  3, 2014",83,Generally favorable reviews,5,1,0,7.0,Mixed or average reviews,14,3,6
140,Wii U,Jeppe Carlsen,"['Action', 'Platformer', '2D']",E,"Sep  1, 2016",0,No score yet,0,3,0,tbd,No user score yet,0,3,0
153 Hand Video Poker,Wii U,Skunk Software,"['Miscellaneous', 'Gambling']",T,"Jun  2, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
360 Breakout,Wii U,nuGAME,"['Action', 'Arcade']",E,"Aug 11, 2016",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
3Souls,Wii U,Red Column,"['Action', 'Action Adventure', 'Platformer', '2D']",E10+,"Jul 28, 2016",49,Generally unfavorable reviews,0,3,1,6.9,Mixed or average reviews,4,2,1
6-Hand Video Poker,Wii U,Skunk Software,"['Miscellaneous', 'Gambling']",T,"Mar 31, 2016",0,No score yet,0,0,1,tbd,No user score yet,0,0,1
6180 the Moon,Wii U,Turtle Cream,"['Action', 'Platformer', '2D']",E,"Feb 25, 2016",0,No score yet,2,1,0,tbd,No user score yet,2,1,0
8Bit Hero,Wii U,Sean Garland,"['Action Adventure', 'General']",E10+,"May 12, 2016",0,No score yet,0,1,0,tbd,No user score yet,0,1,0
99Moves,Wii U,EnjoyUp Games,"['Action', 'General', 'Arcade']",E,"Dec 18, 2014",0,No score yet,0,3,0,tbd,No user score yet,0,3,0
99Seconds,Wii U,EnjoyUp Games,"['Action', 'General', 'Arcade']",E,"Oct  2, 2014",65,Mixed or average reviews,1,3,0,tbd,No user score yet,1,0,0
A Day at the Carnival,Wii U,Thornbury Software,"['Miscellaneous', 'Party / Minigame']",E,"Jul  6, 2017",0,No score yet,0,0,0,tbd,No user score yet,1,0,1
A World of Keflings,Wii U,NinjaBee,"['Strategy', 'Breeding/Constructing', 'General', 'Management', 'Breeding/Constructing', 'Government']",E10+,"Nov 13, 2014",70,Mixed or average reviews,3,1,1,7.6,Generally favorable reviews,5,1,1
Absolutely Unstoppable MineRun,Wii U,Shy Egg,"['Action', 'Platformer', 'Arcade', '2D']",,"Apr 27, 2017",0,No score yet,0,1,1,tbd,No user score yet,0,1,1
Abyss,Wii U,EnjoyUp Games,"['Action', 'General', 'Platformer', '2D']",E,"May  1, 2014",59,Mixed or average reviews,0,6,1,6.5,Mixed or average reviews,5,5,2
