score,critic,date,title,platform
42,IGN,"Jan 14, 2013",007 Legends,Wii U
40,Official Nintendo Magazine UK,"Jan 27, 2013",007 Legends,Wii U
40,Nintendo Life,"Dec 17, 2012",007 Legends,Wii U
95,Destructoid,"Jun  8, 2014",1001 Spikes,Wii U
90,FNintendo,"Nov  5, 2015",1001 Spikes,Wii U
80,NintendoWorldReport,"Jun 20, 2014",1001 Spikes,Wii U
80,Nintendo Life,"Jun 11, 2014",1001 Spikes,Wii U
77,Kill Screen,"Jul  1, 2014",1001 Spikes,Wii U
70,Cubed3,"Jun  8, 2014",1001 Spikes,Wii U
70,FNintendo,"Oct 20, 2016",140,Wii U
65,NintendoWorldReport,"Sep 20, 2016",140,Wii U
60,Nintendo Life,"Sep 12, 2016",140,Wii U
10,Nintendo Life,"Jul 12, 2016",153 Hand Video Poker,Wii U
70,Brash Games,"Aug 18, 2016",360 Breakout,Wii U
70,FNintendo,"Oct  3, 2016",3Souls,Wii U
55,Nintendo Enthusiast,"Oct 30, 2017",3Souls,Wii U
50,Nintendo Life,"Jul 29, 2016",3Souls,Wii U
20,Cubed3,"Dec  7, 2017",3Souls,Wii U
20,Nintendo Life,"May 25, 2016",6-Hand Video Poker,Wii U
90,Nintendo Life,"Mar  3, 2016",6180 the Moon,Wii U
85,NintendoWorldReport,"Feb 29, 2016",6180 the Moon,Wii U
70,FNintendo,"Apr  1, 2016",6180 the Moon,Wii U
50,Nintendo Life,"May 30, 2016",8Bit Hero,Wii U
60,NintendoWorldReport,"Dec 21, 2014",99Moves,Wii U
50,FNintendo,"Jan 19, 2015",99Moves,Wii U
50,Nintendo Life,"Jan  4, 2015",99Moves,Wii U
80,Cubed3,"Nov  4, 2014",99Seconds,Wii U
70,NintendoWorldReport,"Oct  7, 2014",99Seconds,Wii U
60,Nintendo Life,"Oct 22, 2014",99Seconds,Wii U
50,FNintendo,"Oct 23, 2014",99Seconds,Wii U
80,Gaming Nexus,"Jan 15, 2015",A World of Keflings,Wii U
80,Nintendo Life,"Dec 29, 2014",A World of Keflings,Wii U
76,Digital Chumps,"Dec  2, 2014",A World of Keflings,Wii U
65,NintendoWorldReport,"Dec  8, 2014",A World of Keflings,Wii U
42,Gaming Age,"Dec 24, 2014",A World of Keflings,Wii U
60,Vooks,"May  7, 2017",Absolutely Unstoppable MineRun,Wii U
30,Nintendo Life,"May 22, 2017",Absolutely Unstoppable MineRun,Wii U
70,Multiplayer.it,"Jun 23, 2014",Abyss,Wii U
70,3DJuegos,"May 15, 2014",Abyss,Wii U
70,Nintendo Life,"May  5, 2014",Abyss,Wii U
60,FNintendo,"May 29, 2014",Abyss,Wii U
50,Eurogamer Portugal,"May 27, 2014",Abyss,Wii U
50,God is a Geek,"May 19, 2014",Abyss,Wii U
45,Official Nintendo Magazine UK,"Aug  8, 2014",Abyss,Wii U
60,FNintendo,"Nov 29, 2016",ACT IT OUT! A Game of Charades,Wii U
50,Nintendo Life,"Dec  3, 2013",Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Wii U
50,Game Revolution,"Dec  2, 2013",Adventure Time: Explore the Dungeon Because I DON'T KNOW!,Wii U
