title,platform,developer,genre,rating,release_date,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
3 out of 10: Season One,Xbox Series X,Terrible Posture Games,"['Adventure', 'General']",T,"Mar  3, 2021",0,No score yet,1,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-03-03
3D Billiards: Pool & Snooker Remastered,Xbox Series X,Joindots,"['Sports', 'Individual', 'Billiards']",E,"Nov 26, 2021",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-11-26
41 Hours,Xbox Series X,"Infomunca Recruitment, Texelworks","['Action', 'Shooter', 'First-Person', 'Arcade']",T,"Oct 19, 2022",0,No score yet,0,1,1,0.0,No user score yet,0.0,1,1.0,0.0,2022-10-19
6Souls,Xbox Series X,BUG-Studio,"['Action', 'Platformer', '2D']",E10+,"Dec  3, 2021",0,No score yet,1,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2021-12-03
7 Days of Rose,Xbox Series X,Cross Game Studio,"['Adventure', 'Visual Novel']",T,"Nov  4, 2022",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1.0,0.0,2022-11-04
8-Ball Pocket,Xbox Series X,Super PowerUp Games,"['Sports', 'Individual', 'Billiards']",E,"Dec 23, 2022",0,No score yet,0,0,1,0.0,No user score yet,0.0,0,1.0,0.0,2022-12-23
9 Clues 2: The Ward,Xbox Series X,Artifex Mundi,"['Puzzle', 'Hidden Object']",T,"Sep 30, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-09-30
9 Clues: The Secret of Serpent Creek,Xbox Series X,Tap It Games,"['Puzzle', 'Hidden Object']",,"Apr 15, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-04-15
A Frog's Job,Xbox Series X,9Ratones,"['Action', 'Platformer', '2D']",E,"Oct  7, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-10-07
A Gummy's Life,Xbox Series X,EP Games,"['Miscellaneous', 'Party / Minigame']",,"Sep 24, 2021",0,No score yet,0,2,1,0.0,No user score yet,1.0,1,0.0,0.0,2021-09-24
A Juggler's Tale,Xbox Series X,Kaleidoscube,"['Action', 'Adventure', 'General', 'Platformer', '2D']",E10+,"Sep 29, 2021",79,Generally favorable reviews,5,1,0,7.6,Generally favorable reviews,5.0,1,1.0,76.0,2021-09-29
A Little Lily Princess,Xbox Series X,"Hanako Games, Ratalaika Games","['Adventure', 'Visual Novel']",T,"May 28, 2021",0,No score yet,0,2,0,0.0,No user score yet,2.0,0,0.0,0.0,2021-05-28
A Memoir Blue,Xbox Series X,Cloisters,"['Adventure', 'General', '3D', 'Third-Person']",E,"Mar 24, 2022",75,Generally favorable reviews,3,2,0,7.2,Mixed or average reviews,13.0,5,2.0,72.0,2022-03-24
A Musical Story,Xbox Series X,Glee-Cheese Studio,"['Action', 'Rhythm', 'Music']",M,"Mar  4, 2022",0,No score yet,1,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-03-04
A Plague Tale: Innocence,Xbox Series X,Asobo Studio,"['Action Adventure', 'Linear']",M,"Jul  6, 2021",0,No score yet,2,0,0,8.9,Generally favorable reviews,123.0,9,2.0,89.0,2021-07-06
A Plague Tale: Requiem,Xbox Series X,Asobo Studio,"['Action Adventure', 'Linear']",M,"Oct 18, 2022",85,Generally favorable reviews,31,4,0,8.6,Generally favorable reviews,436.0,40,39.0,86.0,2022-10-18
A Pretty Odd Bunny,Xbox Series X,AJ Ordaz Games,"['Action', 'Platformer', '2D']",M,"Nov 10, 2021",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-11-10
A Sketchbook About Her Sun,Xbox Series X,Team SolEtude,"['Adventure', 'Visual Novel']",E,"Apr  8, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-04-08
A Space For The Unbound,Xbox Series X,Mojiken Studio,"['Adventure', 'General']",T,"Jan 19, 2023",0,No score yet,3,0,0,0.0,No user score yet,3.0,0,0.0,0.0,2023-01-19
A Tale of Paper: Refolded,Xbox Series X,Open House Games,"['Action', 'Action Adventure', 'Platformer', 'Linear', '2D']",E10+,"Aug 19, 2022",0,No score yet,0,2,0,0.0,No user score yet,0.0,2,0.0,0.0,2022-08-19
A Winter's Daydream,Xbox Series X,ebi-hime,"['Adventure', 'Visual Novel']",E,"Jun 24, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-06-24
A YEAR OF SPRINGS,Xbox Series X,npckc,"['Adventure', 'Visual Novel']",T,"Dec 10, 2021",0,No score yet,1,1,0,0.0,No user score yet,1.0,1,0.0,0.0,2021-12-10
Active Neurons - Puzzle game,Xbox Series X,USANIK STD,"['Puzzle', 'Logic']",E,"Jan 28, 2022",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2022-01-28
Ad Infinitum,Xbox Series X,Hekate,"['Action', 'Action Adventure', 'Shooter', 'Survival', 'First-Person', 'Arcade']",,"Apr 20, 2023",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2023-04-20
Aeon Drive,Xbox Series X,Critical Reflex,"['Action', 'Platformer', '2D']",E,"Sep 30, 2021",0,No score yet,1,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2021-09-30
Aerial_Knight's Never Yield,Xbox Series X,Aerial_Knight,"['Action', 'General', 'Platformer', '2D']",T,"May 19, 2021",0,No score yet,2,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2021-05-19
Aeterna Noctis,Xbox Series X,Aeternum Game Studios,"['Action', 'Platformer', '2D', 'Metroidvania']",T,"Dec 15, 2021",0,No score yet,2,0,0,6.0,Mixed or average reviews,3.0,0,2.0,60.0,2021-12-15
After Wave: Downfall,Xbox Series X,7 Raven Studios,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"Aug  3, 2022",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-08-03
Afterglitch,Xbox Series X,Vladimir Kudelka,"['Adventure', '3D', 'Third-Person']",E,"Dec  9, 2022",0,No score yet,1,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2022-12-09
Afterimage,Xbox Series X,Aurogon Shanghai,"['Action', 'Action Adventure', 'Platformer', 'Open-World', 'Metroidvania']",RP,"Apr 25, 2023",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2023-04-25
Age of Empires II: Definitive Edition,Xbox Series X,Forgotten Empires LLC,"['Strategy', 'Real-Time', 'Command']",T,"Jan 31, 2023",86,Generally favorable reviews,16,0,0,8.6,Generally favorable reviews,69.0,3,8.0,86.0,2023-01-31
Age of Wonders 4,Xbox Series X,Triumph Studios,"['Strategy', 'Turn-Based', 'General', '4X']",,"May  2, 2023",0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2023-05-02
Agent Intercept,Xbox Series X,PikPok,"['Racing', 'Arcade', 'Automobile']",E10+,"Mar 30, 2022",74,Mixed or average reviews,2,3,0,0.0,No user score yet,0.0,1,0.0,0.0,2022-03-30
Airborne Kingdom,Xbox Series X,The Wandering Band LLC,"['Strategy', 'Real-Time', 'Management', 'General', 'Government']",E,"Nov  9, 2021",0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-11-09
