score,critic,date,title,platform
85,XboxAddict,"Mar 18, 2021",3 out of 10: Season One,Xbox Series X
70,TheXboxHub,"Mar 10, 2021",3 out of 10: Season One,Xbox Series X
50,SomosXbox,"Jan  2, 2022",3D Billiards: Pool & Snooker Remastered,Xbox Series X
50,Movies Games and Tech,"Oct 19, 2022",41 Hours,Xbox Series X
30,TheXboxHub,"Oct 31, 2022",41 Hours,Xbox Series X
80,TheXboxHub,"Dec  3, 2021",6Souls,Xbox Series X
40,TheXboxHub,"Nov 16, 2022",7 Days of Rose,Xbox Series X
20,XboxEra,"Feb 13, 2023",8-Ball Pocket,Xbox Series X
60,TheXboxHub,"Oct  3, 2022",9 Clues 2: The Ward,Xbox Series X
60,TheXboxHub,"May  2, 2022",9 Clues: The Secret of Serpent Creek,Xbox Series X
70,TheXboxHub,"Nov 16, 2022",A Frog's Job,Xbox Series X
69,Xbox Tavern,"Sep 29, 2021",A Gummy's Life,Xbox Series X
60,XboxAddict,"Oct 20, 2021",A Gummy's Life,Xbox Series X
40,TheXboxHub,"Oct  7, 2021",A Gummy's Life,Xbox Series X
88,XboxAddict,"Sep 30, 2021",A Juggler's Tale,Xbox Series X
85,Xbox Tavern,"Oct  1, 2021",A Juggler's Tale,Xbox Series X
80,TheXboxHub,"Oct  6, 2021",A Juggler's Tale,Xbox Series X
80,MondoXbox,"Oct  2, 2021",A Juggler's Tale,Xbox Series X
78,The Games Machine,"Oct 11, 2021",A Juggler's Tale,Xbox Series X
65,Jeuxvideo.com,"Dec 31, 2021",A Juggler's Tale,Xbox Series X
70,TheXboxHub,"Jun  8, 2021",A Little Lily Princess,Xbox Series X
64,Xbox Tavern,"Jun 14, 2021",A Little Lily Princess,Xbox Series X
90,Generación Xbox,"Apr 19, 2022",A Memoir Blue,Xbox Series X
80,Checkpoint Gaming,"May  3, 2022",A Memoir Blue,Xbox Series X
75,INVEN,"May 10, 2022",A Memoir Blue,Xbox Series X
70,TheXboxHub,"Mar 24, 2022",A Memoir Blue,Xbox Series X
60,Video Chums,"Apr 16, 2022",A Memoir Blue,Xbox Series X
92,Xbox Tavern,"Mar  4, 2022",A Musical Story,Xbox Series X
60,TheXboxHub,"Mar  1, 2022",A Musical Story,Xbox Series X
90,TheXboxHub,"Jul 18, 2021",A Plague Tale: Innocence,Xbox Series X
90,COGconnected,"Jul 14, 2021",A Plague Tale: Innocence,Xbox Series X
100,TheXboxHub,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
100,EGM,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
100,Player 2,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
98,XboxAddict,"Oct 21, 2022",A Plague Tale: Requiem,Xbox Series X
98,Impulsegamer,"Oct 19, 2022",A Plague Tale: Requiem,Xbox Series X
98,Generación Xbox,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
96,Xbox Tavern,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
95,SomosXbox,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
92,IGN Italia,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
90,Hey Poor Player,"Oct 25, 2022",A Plague Tale: Requiem,Xbox Series X
90,Comicbook.com,"Oct 21, 2022",A Plague Tale: Requiem,Xbox Series X
90,Movies Games and Tech,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
90,Jeuxvideo.com,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
90,Windows Central,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
90,Pure Xbox,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
88,Multiplayer.it,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
88,GAMES.CH,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
85,GamersRD,"Oct 23, 2022",A Plague Tale: Requiem,Xbox Series X
85,Gamer.nl,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
85,Cultured Vultures,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
85,Checkpoint Gaming,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
80,MondoXbox,"Oct 30, 2022",A Plague Tale: Requiem,Xbox Series X
80,ZTGD,"Oct 26, 2022",A Plague Tale: Requiem,Xbox Series X
80,IGN France,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
80,TrueAchievements,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
80,Xbox Achievements,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
80,IGN,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
80,GamesHub,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
78,New Game Network,"Oct 25, 2022",A Plague Tale: Requiem,Xbox Series X
75,The Jimquisition,"Oct 25, 2022",A Plague Tale: Requiem,Xbox Series X
75,Meristation,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
70,AusGamers,"Oct 18, 2022",A Plague Tale: Requiem,Xbox Series X
70,Digital Trends,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
70,XboxEra,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
60,IGN Spain,"Oct 17, 2022",A Plague Tale: Requiem,Xbox Series X
60,TheXboxHub,"Nov 23, 2021",A Pretty Odd Bunny,Xbox Series X
