title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg,n_user_score,real_date
#Funtime,Xbox One,One Guy Games,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",E,"Jul 16, 2020",,0,No score yet,1,1,0,0.0,No user score yet,1.0,0,0.0,0.0,2020-07-16
#IDARB,Xbox One,Other Ocean Interactive,"['Action', 'Miscellaneous', 'General', 'Party / Minigame']",E,"Jan 30, 2015",,77,Generally favorable reviews,23,8,0,6.9,Mixed or average reviews,48.0,26,16.0,69.0,2015-01-30
#KILLALLZOMBIES,Xbox One,Beatshapers,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",T,"Aug 10, 2016",,53,Mixed or average reviews,0,6,3,0.0,No user score yet,0.0,1,1.0,0.0,2016-08-10
#SinucaAttack,Xbox One,EastAsiaSoft,"['Puzzle', 'Action']",E,"Feb 10, 2021",,0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2021-02-10
#WarGames,Xbox One,Eko,"['Adventure', 'General', 'Visual Novel']",M,"Jul 31, 2018",,0,No score yet,0,2,0,0.0,No user score yet,1.0,1,0.0,0.0,2018-07-31
'n Verlore Verstand,Xbox One,Skobbejak Games,"['Adventure', '3D', 'First-Person']",E,"Apr 21, 2017",,57,Mixed or average reviews,0,4,0,0.0,No user score yet,0.0,1,0.0,0.0,2017-04-21
0 Degrees,Xbox One,EastAsiaSoft,"['Action', 'Puzzle', 'Platformer', '2D']",E,"May 19, 2021",,0,No score yet,0,2,0,0.0,No user score yet,0.0,2,0.0,0.0,2021-05-19
10 Second Ninja X,Xbox One,GameDesignDan,"['Action', 'Platformer', '2D']",T,"Jul 19, 2016",,82,Generally favorable reviews,8,1,1,4.4,Generally unfavorable reviews,3.0,3,5.0,44.0,2016-07-19
1001 Spikes,Xbox One,Nicalis,"['Action', 'Platformer', '2D']",T,"Jun 10, 2014",,0,No score yet,0,2,0,4.9,Generally unfavorable reviews,10.0,3,11.0,49.0,2014-06-10
101 Ways to Die,Xbox One,4 Door Lemon,"['Puzzle', 'Action', 'Platformer', '2D']",T,"Mar 18, 2016",,71,Mixed or average reviews,2,4,0,0.0,No user score yet,0.0,2,0.0,0.0,2016-03-18
11-11: Memories Retold,Xbox One,Digixart Entertainment,"['Adventure', 'General', '3D', 'Third-Person']",T,"Nov  9, 2018",,77,Generally favorable reviews,6,3,0,7.0,Mixed or average reviews,7.0,1,3.0,70.0,2018-11-09
112th Seed,Xbox One,Nerd Game Studio,"['Puzzle', 'Action']",E,"Jul 29, 2020",,0,No score yet,0,1,0,0.0,No user score yet,0.0,1,0.0,0.0,2020-07-29
140,Xbox One,Jeppe Carlsen,"['Action', 'Platformer', '2D']",E,"Aug 30, 2016",,0,No score yet,0,1,1,0.0,No user score yet,2.0,0,0.0,0.0,2016-08-30
1971 Project Helios,Xbox One,Reco Technology,"['Strategy', 'Turn-Based', 'Tactics']",,"Jun  9, 2020",,0,No score yet,0,1,0,7.4,Mixed or average reviews,3.0,1,1.0,74.0,2020-06-09
1979 Revolution: Black Friday,Xbox One,iNK Stories,"['Adventure', 'General']",M,"Aug  3, 2018",,0,No score yet,2,1,0,7.8,Generally favorable reviews,2.0,2,0.0,78.0,2018-08-03
2 Game Bundle: Tony Stewart's All-American Racing + Tony Stewart's Sprint Car Racing,Xbox One,"Monster Games Inc., GameMill Entertainment","['Miscellaneous', 'Racing', 'Simulation', 'Compilation', 'Automobile']",E,"Sep 25, 2020",,0,No score yet,0,0,0,0.0,No user score yet,1.0,0,0.0,0.0,2020-09-25
2 Synchro Hedgehogs,Xbox One,grin robot,"['Puzzle', 'Action']",,"Dec 15, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-12-15
2048 Colorful,Xbox One,LVF STUDIO,"['Puzzle', 'Logic']",,"Dec  1, 2020",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2020-12-01
2048 Maniac,Xbox One,Mautilus s.r.o.,"['Puzzle', 'Logic']",,"Nov  1, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2017-11-01
2048X,Xbox One,Anefiox,"['Puzzle', 'Logic']",,"Sep 27, 2017",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2017-09-27
2064: Read Only Memories,Xbox One,MidBoss,"['Adventure', 'Point-and-Click']",M,"Jan 17, 2018",,71,Mixed or average reviews,2,3,0,0.0,No user score yet,1.0,0,2.0,0.0,2018-01-17
20XX,Xbox One,Batterystaple Games,"['Action', 'Platformer', '2D']",E10+,"Jul 11, 2018",,79,Generally favorable reviews,5,1,0,8.0,Generally favorable reviews,4.0,1,0.0,80.0,2018-07-11
2Dark,Xbox One,Gloomywood,"['Action Adventure', 'General']",M,"Mar 10, 2017",,65,Mixed or average reviews,1,8,0,6.9,Mixed or average reviews,6.0,1,2.0,69.0,2017-03-10
2URVIVE,Xbox One,2BAD GAMES,"['Action', 'Shooter', ""Shoot-'Em-Up"", 'Top-Down']",M,"Jun 12, 2019",,0,No score yet,0,2,0,0.0,No user score yet,0.0,1,0.0,0.0,2019-06-12
3 out of 10: Season One,Xbox One,Terrible Posture Games,"['Adventure', 'General']",T,"Mar  3, 2021",,0,No score yet,0,0,0,0.0,No user score yet,0.0,0,0.0,0.0,2021-03-03
35MM,Xbox One,Noskov Sergey,"['Action Adventure', 'Survival']",T,"Mar  2, 2022",,0,No score yet,0,3,0,0.0,No user score yet,0.0,3,0.0,0.0,2022-03-02
39 Days to Mars,Xbox One,It's Anecdotal,"['Puzzle', 'Action']",E,"Feb  6, 2019",,66,Mixed or average reviews,0,6,0,0.0,No user score yet,0.0,1,1.0,0.0,2019-02-06
