score,critic,date,title,platform
90,TheXboxHub,"Jul 13, 2020",#Funtime,Xbox One
60,Video Chums,"Jul 21, 2020",#Funtime,Xbox One
100,ZTGD,"Jan 14, 2015",#IDARB,Xbox One
90,Hardcore Gamer,"Feb  9, 2015",#IDARB,Xbox One
90,Gaming Nexus,"Feb  9, 2015",#IDARB,Xbox One
90,We Got This Covered,"Jan 28, 2015",#IDARB,Xbox One
85,LevelUp,"Feb 10, 2015",#IDARB,Xbox One
85,Polygon,"Feb  2, 2015",#IDARB,Xbox One
83,Game Informer,"Jan 30, 2015",#IDARB,Xbox One
83,COGconnected,"Jan 22, 2015",#IDARB,Xbox One
82,Vandal,"Jan 21, 2015",#IDARB,Xbox One
80,DarkStation,"Apr  2, 2015",#IDARB,Xbox One
80,Arcade Sushi,"Feb 11, 2015",#IDARB,Xbox One
80,Level7.nu,"Feb  9, 2015",#IDARB,Xbox One
80,GameSpot,"Feb  7, 2015",#IDARB,Xbox One
80,Destructoid,"Feb  2, 2015",#IDARB,Xbox One
80,Digital Spy,"Jan 21, 2015",#IDARB,Xbox One
80,Attack of the Fanboy,"Jan 19, 2015",#IDARB,Xbox One
80,Game Revolution,"Jan 14, 2015",#IDARB,Xbox One
78,Digital Chumps,"Feb  2, 2015",#IDARB,Xbox One
76,IGN Italia,"Feb 16, 2015",#IDARB,Xbox One
75,Softpedia,"Feb 17, 2015",#IDARB,Xbox One
75,IGN Spain,"Feb 10, 2015",#IDARB,Xbox One
75,Xbox Achievements,"Feb  9, 2015",#IDARB,Xbox One
75,IGN,"Jan 13, 2015",#IDARB,Xbox One
70,Official Xbox Magazine UK,"Mar 28, 2015",#IDARB,Xbox One
70,Dealspwn,"Mar 22, 2015",#IDARB,Xbox One
70,games(TM),"Mar 10, 2015",#IDARB,Xbox One
70,Multiplayer.it,"Feb  8, 2015",#IDARB,Xbox One
70,God is a Geek,"Jan 28, 2015",#IDARB,Xbox One
70,Eurogamer,"Jan 27, 2015",#IDARB,Xbox One
70,X-ONE Magazine UK,"Jan 18, 2015",#IDARB,Xbox One
60,Edge Magazine,"Mar 30, 2015",#IDARB,Xbox One
