score,critic,date,title,platform
8,Xbox_Alive,"Jul 25, 2020",#Funtime,Xbox One
7,TheQuietGamer,"Feb 14, 2015",#IDARB,Xbox One
7,TheDXDan,"Feb 25, 2015",#IDARB,Xbox One
8,SuperJH,"Mar  3, 2015",#IDARB,Xbox One
8,Bronz,"Feb 18, 2015",#IDARB,Xbox One
4,Bjolley35,"Feb 18, 2015",#IDARB,Xbox One
10,turdusmcflurdus,"Feb  1, 2015",#IDARB,Xbox One
10,chriz9656,"Feb 13, 2015",#IDARB,Xbox One
9,DannyMcGurk,"Feb 13, 2015",#IDARB,Xbox One
8,TheRealParzival,"Apr 13, 2015",#IDARB,Xbox One
10,Fabrizzio1000,"Feb  4, 2015",#IDARB,Xbox One
8,Nixist,"Mar  6, 2015",#IDARB,Xbox One
9,dericiouswon,"Feb 10, 2015",#IDARB,Xbox One
9,WASTELAND_RAVEN,"Feb 10, 2015",#IDARB,Xbox One
8,Firedthaboss,"Feb  9, 2015",#IDARB,Xbox One
8,Ripper89,"Mar 13, 2015",#IDARB,Xbox One
10,Stigma42,"Feb  3, 2015",#IDARB,Xbox One
9,rawbyrtt,"Mar 25, 2015",#IDARB,Xbox One
8,brad2534,"Jan 31, 2015",#IDARB,Xbox One
7,XxAcidFaZexX,"Apr 21, 2015",#IDARB,Xbox One
8,PrimitveHD,"Mar 21, 2015",#IDARB,Xbox One
6,kvnd,"May 25, 2020",#IDARB,Xbox One
8,SurestRoxas,"Jun  4, 2018",#IDARB,Xbox One
4,Peptide,"Aug 11, 2016",#KILLALLZOMBIES,Xbox One
5,Tavan,"Nov 27, 2019",#KILLALLZOMBIES,Xbox One
6,Xbox_Alive,"Aug  1, 2018",#WarGames,Xbox One
2,Jellyfish-Games,"Aug 12, 2015",1001 Spikes,Xbox One
1,kish1975,"Aug 16, 2014",1001 Spikes,Xbox One
4,DinoBeam,"Oct 21, 2020",1001 Spikes,Xbox One
7,GBHBL,"Apr 27, 2016",101 Ways to Die,Xbox One
6,GamesXtreme,"Aug 31, 2016",101 Ways to Die,Xbox One
9,Xbox_Alive,"Nov 16, 2018",11-11: Memories Retold,Xbox One
9,Daron,"Nov 11, 2018",11-11: Memories Retold,Xbox One
9,h43lio,"Jan 28, 2023",11-11: Memories Retold,Xbox One
6,Xbox_Alive,"Aug  4, 2020",112th Seed,Xbox One
10,Fuge,"Sep  1, 2016",140,Xbox One
10,Oorgetuige,"Oct 31, 2019",140,Xbox One
7,Xbox_Alive,"Jul  4, 2020",1971 Project Helios,Xbox One
0,jro3001,"Jun 18, 2020",1971 Project Helios,Xbox One
8,Xbox_Alive,"Aug  3, 2018",1979 Revolution: Black Friday,Xbox One
6,CenkAlp,"Sep 21, 2019",1979 Revolution: Black Friday,Xbox One
7,SenorKoquonfaes,"Nov 15, 2021",1979 Revolution: Black Friday,Xbox One
10,20Double_D05,"Oct 25, 2021",2 Game Bundle: Tony Stewart's All-American Racing + Tony Stewart's Sprint Car Racing,Xbox One
