score,text,critic,date,title,platform
80,"Despite following a standard, #Breakforcist Battle is fun in all the right areas. With a lovely style and entertaining gameplay elements, Lucid Sheep Games has so much to keep me engaged. I love to put this game on during commute, finish up a run or two and continue at a later point. The title is also grand for tabletop mode as you can work together or battle it out for the best results. I do wish that there were online leaderboards, but it is something I can overlook just a bit.",NintendoWorldReport,"Apr 17, 2018",#Breakforcist Battle,Switch
70,"#Breakforcist Battle might not reinvent the wheel when it comes to block-breaking games but it still proves to be an entertaining time albeit a content-light one. Strengthened by a bright and quirky visual style and some neat multiplayer features, #Breakforcist Battle is a short but sweet enough experience that could have done with a few more options for the lone player.",Nintendo Insider,"Jun  5, 2018",#Breakforcist Battle,Switch
55,"#Breakforcist Battle is a new version of the Atari classic Breakout, with a very colorful and original design and with new elements that make it very fun. However, it doesn't have many game modes and is only designed to play short games and entertain in free time.",Nintenderos,"Jul  5, 2020",#Breakforcist Battle,Switch
90,"Overall, #Drive is one of those feel-good runners where you just have to lose yourself to the gameplay and have a good time.",GameSpace,"Feb 24, 2021",#DRIVE,Switch
80,"#DRIVE is by no means a revolution as far as endless-runner games go, but its simple premise and addictive collection aspect delivers an enjoyable experience. While many big developers and publishers might not feel now is the time to venture back into making explosive arcade racers, I’m happy this one did.",GameCritics,"Apr  2, 2021",#DRIVE,Switch
80,"It has both its calm and frustrating moments, but when it looks as stylish as it does, you can’t hold it against it. A mobile-runner without the trappings, it compliments the Switch perfectly. Kick back, keep your eyes peeled, and just #Drive.",Finger Guns,"Feb 15, 2021",#DRIVE,Switch
64,"Mechanically monotonous endless racer with charming visuals and loads of cool unlockable cars. Harmless entertainment, but not really a good racing game.",4Players.de,"Mar 12, 2021",#DRIVE,Switch
60,#DRIVE is a low-key simulation game with pretty backdrops that will relax you but may not keep you entertained for long.,Pure Nintendo,"Mar 15, 2021",#DRIVE,Switch
60,"The overly repetitive tracks and gameplay definitely works fine on mobile, but for a console experience – and one with a moderately high price-tag – this isn’t a motor that you’ll be taking out for a drive that often.",Gamezebo,"Feb 23, 2021",#DRIVE,Switch
60,"#DRIVE obviously won’t scratch the same itch that a fully-featured racing game will, but if you’re looking for something to waste some time with, there’s fun to be had here. For an endless runner game, #DRIVE offers a reasonable amount of depth, and unlocking all the locations and vehicles is reason enough to keep coming back, 10 minutes at a time.",GameSpew,"Feb 16, 2021",#DRIVE,Switch
70,"I can’t fault #Funtime for being overly familiar within the twin-stick shooter genre when the core of the game feels so good to play. Not only that, but the diverse level types and modes make it so that once I beat the levels, I found myself having just as much fun going back to them, attempting to earn three stars on as many as possible before giving up in frustration at my own lack of coordination. Some clumsy button placement with color swaps and an overplayed style isn’t enough to keep me from giving a solid recommendation to this game with a silly name.",NintendoWorldReport,"Sep 23, 2020",#Funtime,Switch
70,"#KILLALLZOMBIES is an entertaining high-score driven zombie mayhem experience. It has enough to justify a place in your Switch library, and has a pick-up-and-play nature which means you might come back to it down the line.",Switch Player,"Mar 27, 2019",#KILLALLZOMBIES,Switch
40,"Considering #killallzombies released about 5 years ago, you'd expect it to have some sort of longevity to deserve a Switch port but instead, it's a by-the-numbers twin-stick roguelike that you'll probably forget about shortly after giving it a few tries.",Video Chums,"Feb 12, 2019",#KILLALLZOMBIES,Switch
60,"Even though it's enjoyable at first, #RaceDieRun's overly sensitive mechanics make playing it eventually become too frustrating.",Video Chums,"Aug  8, 2019",#RaceDieRun,Switch
42,"In the game’s defense, it does what it sets out to do relatively well. The controls are as tight as they need to be — which, in this case, is quite a bit, since you have to make all kinds of tight turns. But just because it’s fine for what it is doesn’t make #RaceDieRun any more interesting. Unless you have a masochistic desire to crash a whole bunch, your interest in being challenged will probably wane long, long before this game is over.",Gaming Age,"Sep 17, 2019",#RaceDieRun,Switch
85,"Klaus is an impeccable experience from top to bottom. Platforming is engaging and tight, the puzzles will keep you on your toes, and the story offers up something that matches mind-blowing tales such as Limbo or Inside. The struggle with managing all the moving parts and some unfortunate flashing lights aren’t enough to bring this one down too far on the list of stellar platforming experiences on the Nintendo Switch.",NintendoWorldReport,"Jul  1, 2020",-KLAUS-,Switch
90,"Hack//G.U. Last Recode is a beautiful remaster and at the same time, a wonderful collection of three PS2 games that presents us with a fantastic fictional story, and offers us more than 100 hours of gameplay.",GamersRD,"Mar 31, 2022",.hack//G.U. Last Recode,Switch
80,".hack// G.U. immerses us in what people used to think was an online game in the early 2000s. The game did not age well, but it's still a franchise worth experiencing, especially for isekai fans. Made up of an impeccable artistic and narrative section, the world and the dungeons feel empty.",TierraGamer,"Apr 28, 2022",.hack//G.U. Last Recode,Switch
80,"It feels a little funny to review .hack//G.U. Last Recode for the Switch. Diehard .hack// fans like myself just needed to be told when and where to buy it with no questions asked, and those who have never dipped their toes into the title (or franchise as a whole) have three current platforms to choose from with a basic understanding of what one can reasonably expect from any of them. To that end, I’d like to close the review on this note: .hack//G.U. Last Recode is worth the money no matter which platform you buy it on, but if you want to support some of the most creative and dedicated developers out there, pick up .hack//G.U. Last Recode on the Switch — don’t let CyberConnect2’s blood, sweat, and tears go to waste.",Hey Poor Player,"Mar 27, 2022",.hack//G.U. Last Recode,Switch
75,"All in all, if you enjoy anime and story-heavy JRPGs, you’ll probably enjoy this title as well. If you prefer games that feature better gameplay to cutscene ratios, you should probably play something else.",COGconnected,"Mar 23, 2022",.hack//G.U. Last Recode,Switch
75,".Hack//G.U. Last Recode arrives on Nintendo Switch with a porting that changes nothing compared to that of almost five years ago, but which equally does not sacrifice anything of the experience. If you are willing to spend a few dollars more for the convenience of portability it could be the right time to spend about seventy hours of good old-fashioned entertainment.",Multiplayer.it,"Mar 20, 2022",.hack//G.U. Last Recode,Switch
