title,platform,developer,genre,rating,release_date,summary,meta_score,meta_overview,meta_pos,meta_mixed,meta_neg,user_score,user_overview,user_pos,user_mixed,user_neg
F1 2015,Xbox One,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Jul 21, 2015","Honda returns and once more forges an alliance with McLaren, which also welcomes back Fernando Alonso. Sebastien Vettel moves to Ferrari and, alongside a new generation of exciting young drivers on the grid, will attempt to halt the winning start Mercedes have made in the new era of FORMULA 1. The race calendar for 2015 also features a new circuit, with a return to Mexico for the first time in over 20 years.",64,Mixed or average reviews,1,10,2,6.2,Mixed or average reviews,12,7,7
F1 2016,Xbox One,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Aug 19, 2016","Includes the full 2016 season calendar of 21 tracks, including the brand new Baku circuit in Azerbaijan, and the full roster of 22 drivers and 11 teams, including the new Haas F1 Team. F1 2016 immerses you in not only the on-track excitement of a FORMULA ONE career, including the inclusion of the iconic Safety Car and also the Virtual Safety Car for the first time, but also uniquely offers the drama and vehicle development that goes on behind the scenes. Work with your agent, engineer and team to develop your car in the deepest ever career experience, spanning up to ten seasons. Forge your own path to glory, and rise to be the champion.",85,Generally favorable reviews,14,0,0,7.8,Generally favorable reviews,31,3,7
F1 2017,Xbox One,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Aug 25, 2017","Win the 2017 World Championship, break every record in the fastest ever F1 cars, and race some of the most iconic F1 cars of the last 30 years. The game sports an even deeper ten year Career, more varied gameplay in the new ‘Championships’ mode, and a host of other new features, both online and offline.",84,Generally favorable reviews,16,1,0,7.3,Mixed or average reviews,23,6,6
F1 2018,Xbox One,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Aug 24, 2018","The 2018 season sees the return of the French Grand Prix for the first time since 2008, at the Circuit Paul Ricard, which last hosted the French Grand Prix in 1990. The German Grand Prix also returns to the Championship after not featuring last year, with the Hockenheimring hosting the race in July. F1 2018 features all of the official teams, the drivers and circuits of the 2018 season. [Codemasters]",84,Generally favorable reviews,16,2,0,8.0,Generally favorable reviews,32,6,4
F1 2019,Xbox One,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Jun 25, 2019","The official videogame of the 2019 FIA Formula One World Championship, F1 2019 challenges you to Defeat your Rivals in the most ambitious F1 game in Codemasters' history. The game is released a full two months earlier during the Formula 1 myWorld Grosser Preis von Osterreich 2019 weekend and, unlike previous iterations, ahead of the British, German and Hungarian races. F1 2019 features all the official teams, drivers and all 21 circuits from the 2019 season. This year sees the inclusion of F2 with players being able to complete the 2018 season with the likes of George Russell, Lando Norris and Alexander Albon. The 2019 F2 season content will be made available as a free digital update during the season. Having established itself as one of the highest rated racing franchises of all time, F1 2019 builds on the success of previous iterations and delivers an experience that rivals the quality and production values of its real-life race counterpart. With greater emphasis on graphical fidelity, the environments have been significantly enhanced, and the tracks come to life like never before. Night races have been completely overhauled creating vastly improved levels of realism and the upgraded F1 broadcast sound and visuals add further realism to all aspects of the race weekend.",89,Generally favorable reviews,15,0,0,7.0,Mixed or average reviews,34,11,12
F1 2020,Xbox One,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Jul 10, 2020","For the first time, players can create their own F1® team by creating a driver, then choosing a sponsor, an engine supplier, hiring a teammate and competing as the 11th team on the grid. Build facilities, develop the team over time and drive to the top. Customise your 10-year career mode, with a choice of F2™ Championship introduction options and season lengths to allow for a more exciting, multiple season, career. The addition of split-screen racing, a new steering assist and a more accessible race experience means that you can enjoy the game with friends, no matter what your skill level. F1® 2020 features all the official teams, drivers and 22 circuits, including two new races: Hanoi Circuit and Circuit Zandvoort. Online connection required to download the final teams’ 2020 cars (as applicable) and F2™ 2020 season content.",91,Universal acclaim,20,0,0,7.3,Mixed or average reviews,80,12,21
F1 2021,Xbox One,Codemasters,"['Racing', 'Simulation', 'Automobile']",E,"Jul 13, 2021","Every story has a beginning in F1 2021, the official videogame of the 2021 FIA FORMULA ONE WORLD CHAMPIONSHIP. Enjoy the stunning new features of F1 2021, including the thrilling story experience 'Braking Point', two-player Career, and get even closer to the grid with 'Real-Season Start'. Take your team to the top in the acclaimed ten-year 'My Team' Career mode, or race head-to-head in split-screen and multiplayer. Immerse yourself in the greatest racing spectacle on the planet and race with the authentic lineup of twenty heroic drivers and ten iconic teams from the 2021 season.",0,No score yet,1,0,0,4.5,Generally unfavorable reviews,3,2,6
F1 22,Xbox One,Codemasters,"['Action', 'General', 'Racing', 'Simulation', 'Automobile']",E,"Jun 28, 2022","Enter the new era of Formula 1® in EA SPORTS™ F1® 22, the official videogame of the 2022 FIA Formula One World Championship™. Take your seat for a new season as redesigned cars and overhauled rules redefine race day, test your skills around the new Miami International Autodrome, and get a taste of the glitz and glamour in F1® Life. Race the stunning new cars of the Formula 1® 2022 season with the authentic lineup of all 20 drivers and 10 teams, and take control of your race experience with new immersive or broadcast race sequences. Create a team and take them to the front of the grid with new depth in the acclaimed My Team career mode, race head-to-head in split-screen or multiplayer, or change the pace by taking supercars from some of the sport’s biggest names to the track in our all new Pirelli Hot Laps feature.",0,No score yet,0,0,0,3.7,Generally unfavorable reviews,3,0,6
F1 Manager 2022,Xbox One,Frontier Developments,"['Racing', 'Simulation', 'Other']",E10+,"Aug 30, 2022","F1 Manager 2022 is a great manager game worth recommending to. With a lot of features to manage a F1 team, I think this is one of the best manager games.",0,No score yet,0,0,0,tbd,No user score yet,1,1,0
Fable Fortune,Xbox One,Mediatonic,"['Strategy', 'Turn-Based', 'Card Battle', 'Tactics']",T,"Feb 22, 2018","This is actually quite a fun game if you like the genre. It distinguishes itselft from other CCG games by adding some nice tweaks. Especially fun is the coop mode where 2 Players try to win battles against Special opponenents. IT takes a couple of hours to learn but a Long time to master, it is always challenging. It is cross Play between PC and Xbox One so it usaully doesn't take a lot of time to find coop Partners or opponents.",70,Mixed or average reviews,2,5,0,7.4,Mixed or average reviews,7,1,2
