score,critic,date,title,platform
77,IGN Spain,"Jul 11, 2015",F1 2015,Xbox One
72,4Players.de,"Jul 10, 2015",F1 2015,Xbox One
70,X-ONE Magazine UK,"Aug 22, 2015",F1 2015,Xbox One
70,Xbox Achievements,"Aug 20, 2015",F1 2015,Xbox One
70,Gamer.nl,"Aug  3, 2015",F1 2015,Xbox One
70,Hardcore Gamer,"Jul 21, 2015",F1 2015,Xbox One
70,Official Xbox Magazine UK,"Jul  9, 2015",F1 2015,Xbox One
69,MondoXbox,"Jul 26, 2015",F1 2015,Xbox One
65,Game Informer,"Jul 21, 2015",F1 2015,Xbox One
60,GamingTrend,"Aug 24, 2015",F1 2015,Xbox One
60,GameOver.gr,"Jul 31, 2015",F1 2015,Xbox One
45,Destructoid,"Jul 23, 2015",F1 2015,Xbox One
40,Pure Xbox,"Jul 16, 2015",F1 2015,Xbox One
90,Official Xbox Magazine UK,"Oct  3, 2016",F1 2016,Xbox One
90,Brash Games,"Sep  5, 2016",F1 2016,Xbox One
90,ICXM,"Aug 21, 2016",F1 2016,Xbox One
88,IGN,"Aug 24, 2016",F1 2016,Xbox One
85,Worth Playing,"Oct 13, 2016",F1 2016,Xbox One
85,GameCritics,"Oct 13, 2016",F1 2016,Xbox One
85,ZTGD,"Sep  6, 2016",F1 2016,Xbox One
85,MondoXbox,"Aug 31, 2016",F1 2016,Xbox One
80,NZGamer,"Sep  8, 2016",F1 2016,Xbox One
80,Stevivor,"Sep  5, 2016",F1 2016,Xbox One
80,TrueAchievements,"Aug 26, 2016",F1 2016,Xbox One
80,GameGrin,"Aug 25, 2016",F1 2016,Xbox One
80,Game Revolution,"Aug 22, 2016",F1 2016,Xbox One
80,Xbox Achievements,"Aug 19, 2016",F1 2016,Xbox One
100,TheXboxHub,"Aug 22, 2017",F1 2017,Xbox One
90,TrueAchievements,"Sep  5, 2017",F1 2017,Xbox One
90,GameSpew,"Sep  5, 2017",F1 2017,Xbox One
90,Digital Chumps,"Aug 31, 2017",F1 2017,Xbox One
90,Xbox Achievements,"Aug 25, 2017",F1 2017,Xbox One
