score,critic,date,title,platform
10,bbjmm,"Jul 29, 2015",F1 2015,Xbox One
7,Amihan,"Jul 24, 2015",F1 2015,Xbox One
2,gabvilleneuve,"Oct 21, 2015",F1 2015,Xbox One
1,aikman2irvin,"Jul 21, 2015",F1 2015,Xbox One
0,SoulBackUp,"May 29, 2016",F1 2015,Xbox One
6,RyuFujiwara,"Apr 15, 2016",F1 2015,Xbox One
8,mikemormai,"Apr 26, 2019",F1 2015,Xbox One
9,baris697,"Aug 19, 2016",F1 2016,Xbox One
10,JayPenrith,"Aug 20, 2016",F1 2016,Xbox One
7,SiddTheReviewer,"Nov 11, 2016",F1 2016,Xbox One
9,crusher351,"Aug  9, 2017",F1 2016,Xbox One
10,F1racestarsfan,"Apr 15, 2017",F1 2016,Xbox One
10,107429,"Oct 12, 2017",F1 2016,Xbox One
0,107429,"Oct 12, 2017",F1 2017,Xbox One
9,Gamer1988,"Oct  5, 2017",F1 2017,Xbox One
0,SmiX,"Feb  6, 2018",F1 2017,Xbox One
9,phleccl,"Oct  9, 2017",F1 2017,Xbox One
7,polltery,"Nov 15, 2017",F1 2017,Xbox One
10,NFSMW311,"Nov 15, 2017",F1 2017,Xbox One
9,sn0beast,"May 28, 2018",F1 2017,Xbox One
9,Xbox_Alive,"Aug 29, 2018",F1 2018,Xbox One
1,Pingerz,"Nov 23, 2018",F1 2018,Xbox One
3,SmiX,"Sep 19, 2018",F1 2018,Xbox One
8,cmi30,"Apr 22, 2019",F1 2018,Xbox One
5,Broyax,"May 18, 2019",F1 2018,Xbox One
9,JudeL,"Nov 17, 2018",F1 2018,Xbox One
9,Matias8654,"Nov  8, 2020",F1 2018,Xbox One
9,Kuza7,"Jan 22, 2020",F1 2018,Xbox One
7,Satochi,"Jun 21, 2020",F1 2018,Xbox One
9,Xbox_Alive,"Jun 28, 2019",F1 2019,Xbox One
9,Lotap,"Dec 11, 2020",F1 2019,Xbox One
8,GrantD243,"Oct 24, 2019",F1 2019,Xbox One
7,alexquentin22,"Jul 15, 2019",F1 2019,Xbox One
10,BravoOne430,"Sep 14, 2019",F1 2019,Xbox One
8,TechnicalN9ne,"Dec 27, 2019",F1 2019,Xbox One
0,Motirius,"Mar 24, 2020",F1 2019,Xbox One
4,Broyax,"Feb 18, 2021",F1 2019,Xbox One
8,Matias8654,"Nov  8, 2020",F1 2019,Xbox One
9,Dreminator,"Jul 25, 2020",F1 2020,Xbox One
8,JJTommyMmJ,"Aug 24, 2020",F1 2020,Xbox One
9,IRhodes,"Aug 12, 2020",F1 2020,Xbox One
10,OVERRATEDCRAP,"Jul 30, 2020",F1 2020,Xbox One
10,Xbox_Alive,"Jul 12, 2020",F1 2020,Xbox One
8,Atyzer,"Jul 12, 2020",F1 2020,Xbox One
0,sursurk,"Aug  1, 2020",F1 2020,Xbox One
10,MDollystao,"Jul 13, 2020",F1 2020,Xbox One
9,GameAholicFTW,"Jul 15, 2020",F1 2020,Xbox One
10,jonmax11021981,"Jul 13, 2020",F1 2020,Xbox One
10,MatthewBlack,"Jul 18, 2020",F1 2020,Xbox One
9,JAYBOY1980,"Jul 29, 2020",F1 2020,Xbox One
9,MathBatista,"Jul 13, 2020",F1 2020,Xbox One
10,MinePlay512,"Aug 16, 2020",F1 2020,Xbox One
9,Juandi97,"Jul 20, 2020",F1 2020,Xbox One
10,Guillermothecow,"Jul 22, 2020",F1 2020,Xbox One
10,Happyhughes2001,"Jul 19, 2020",F1 2020,Xbox One
10,abd1234,"Jul 11, 2020",F1 2020,Xbox One
10,Ringo,"Aug  4, 2020",F1 2020,Xbox One
9,Fatman7324,"Aug 28, 2020",F1 2020,Xbox One
0,RGnow,"Jul 13, 2020",F1 2020,Xbox One
5,Broyax,"Oct 14, 2021",F1 2020,Xbox One
10,Games44un,"Sep 10, 2020",F1 2020,Xbox One
9,leakthis,"Aug 27, 2020",F1 2020,Xbox One
8,https_500,"Oct 21, 2020",F1 2020,Xbox One
10,lfcfamily,"Nov 15, 2020",F1 2020,Xbox One
9,flamethetasher,"Dec  9, 2020",F1 2020,Xbox One
3,Nemosese,"Dec 14, 2020",F1 2020,Xbox One
10,Nxgamer,"Feb 24, 2021",F1 2020,Xbox One
4,Karpatka,"Jul 28, 2021",F1 2021,Xbox One
0,maki1511,"Jul 20, 2021",F1 2021,Xbox One
6,Mrlugardo,"Oct  3, 2021",F1 2021,Xbox One
0,gg01_reviews,"Nov 14, 2021",F1 2021,Xbox One
0,Iceman038,"Apr  2, 2022",F1 2021,Xbox One
0,Foley1888,"Jul  4, 2022",F1 22,Xbox One
0,TibbTerrys,"Jul  6, 2022",F1 22,Xbox One
10,TheF1Gaymer,"Jul 20, 2022",F1 22,Xbox One
1,RogueRouge,"Sep 24, 2022",F1 22,Xbox One
10,MinePlay512,"Aug 26, 2022",F1 Manager 2022,Xbox One
0,suzuki,"Feb 19, 2018",Fable Fortune,Xbox One
0,IngrownMink4,"Nov  3, 2018",Fable Fortune,Xbox One
9,czek1976,"Mar 26, 2018",Fable Fortune,Xbox One
6,zNeverSleeping,"Oct 29, 2020",Factotum 90,Xbox One
8,Xbox_Alive,"Apr 30, 2019",Fade to Silence,Xbox One
7,GamerGuysNGals,"May 12, 2019",Fade to Silence,Xbox One
10,Excelsion,"May  1, 2019",Fade to Silence,Xbox One
9,Emma242,"Dec 28, 2019",Fade to Silence,Xbox One
7,Xbox_Alive,"Aug 19, 2020",Faeria,Xbox One
10,JRice,"Nov 16, 2021",Faeria,Xbox One
9,AngryGamer34,"Jul 17, 2022",Fall Guys,Xbox One
7,Xbox_Alive,"Aug 19, 2018",Fall of Light: Darkest Edition,Xbox One
3,brandonwhyit,"Dec 14, 2015",Fallout 4,Xbox One
4,cobaltskky,"Nov 28, 2015",Fallout 4,Xbox One
4,Kohlar,"Jan 16, 2016",Fallout 4,Xbox One
4,sprinkill,"Dec 13, 2015",Fallout 4,Xbox One
1,vincentnguyen77,"Dec  6, 2015",Fallout 4,Xbox One
1,Kapilux,"Dec 22, 2015",Fallout 4,Xbox One
3,guilhermefdias,"Nov 23, 2015",Fallout 4,Xbox One
3,myx23,"Dec 11, 2015",Fallout 4,Xbox One
4,MrCommonSense,"Dec 10, 2015",Fallout 4,Xbox One
4,simothemaster,"Nov 28, 2015",Fallout 4,Xbox One
4,tomtin,"Nov 29, 2015",Fallout 4,Xbox One
3,jordyjuice,"Mar  3, 2016",Fallout 4,Xbox One
0,enfilade,"Dec 17, 2015",Fallout 4,Xbox One
3,Spogbob159,"Nov 23, 2015",Fallout 4,Xbox One
1,tadaa,"Jan  7, 2016",Fallout 4,Xbox One
4,Domlol,"Jan 18, 2016",Fallout 4,Xbox One
1,Ensigned,"Dec  4, 2015",Fallout 4,Xbox One
1,cvtem,"Feb 26, 2016",Fallout 4,Xbox One
2,B5HARP,"Jan  4, 2016",Fallout 4,Xbox One
4,youbetterwork,"Dec 29, 2015",Fallout 4,Xbox One
1,Dafuzz,"Dec 24, 2015",Fallout 4,Xbox One
0,stonecoldl,"Dec  9, 2015",Fallout 4,Xbox One
4,echotech,"Nov 17, 2015",Fallout 4,Xbox One
3,CODFANBOY2015,"Nov 19, 2015",Fallout 4,Xbox One
4,TheBlindCritic,"Nov 17, 2015",Fallout 4,Xbox One
0,Stopdumbingdown,"Dec  7, 2015",Fallout 4,Xbox One
0,SpiritStar,"Nov 24, 2015",Fallout 4,Xbox One
4,AgentBJ09,"Nov 16, 2015",Fallout 4,Xbox One
2,osprey,"Jun 19, 2016",Fallout 4,Xbox One
3,Gorguz,"Nov 13, 2015",Fallout 4,Xbox One
3,Oknowimpissed,"Nov 13, 2015",Fallout 4,Xbox One
2,iceman00n,"Nov 16, 2015",Fallout 4,Xbox One
1,Ozwald,"Nov 17, 2015",Fallout 4,Xbox One
1,ComBrandon,"Nov 15, 2015",Fallout 4,Xbox One
0,Trevorsh,"Nov 23, 2015",Fallout 4,Xbox One
3,NyoNor,"Nov 11, 2015",Fallout 4,Xbox One
5,DukeSilver,"Nov 10, 2015",Fallout 4,Xbox One
1,Augustinus,"Nov 12, 2015",Fallout 4,Xbox One
3,jpirovano,"Nov 25, 2015",Fallout 4,Xbox One
0,logancool,"Feb  1, 2016",Fallout 4,Xbox One
1,ace99,"Dec  1, 2015",Fallout 4,Xbox One
0,richcore,"Dec 21, 2015",Fallout 4,Xbox One
0,maxonepercent,"Nov 12, 2015",Fallout 4,Xbox One
0,Bane637,"Nov 17, 2015",Fallout 4,Xbox One
2,kingraptor724,"Nov 10, 2015",Fallout 4,Xbox One
